YearsCodePro,DevType,ConvertedCompYearly,OrgSize,Year
5,Data Analyst,130000.0,10000+,2021
5,Data Analyst,500000.0,2-9,2021
2,Data Analyst,14268.0,100-1000,2021
5,Data Analyst,63530.0,10000+,2021
2,Data Analyst,36000.0,1,2021
4,Data Analyst,98500.0,1000-4999,2021
14,Data Analyst,54049.0,10000+,2021
18,Data Analyst,63648.0,10-100,2021
14,Data Analyst,103408.0,2-9,2021
2,Data Analyst,22584.0,0,2021
5,Data Analyst,51888.0,100-1000,2021
26,Data Analyst,81000.0,0,2021
3,Data Analyst,72000.0,1,2021
21,Data Analyst,60752.0,10-100,2021
4,Data Analyst,85000.0,100-1000,2021
19,Data Analyst,65000.0,100-1000,2021
21,Data Analyst,51888.0,100-1000,2021
4,Data Analyst,46482.0,2-9,2021
3,Data Analyst,35672.0,1000-4999,2021
18,Data Analyst,54049.0,10-100,2021
7,Data Analyst,43239.0,10-100,2021
20,Data Analyst,130000.0,100-1000,2021
9,Data Analyst,96000.0,10000+,2021
25,Data Analyst,68068.0,10-100,2021
4,Data Analyst,55702.0,1000-4999,2021
13,Data Analyst,155000.0,10-100,2021
35,Data Analyst,70000.0,2-9,2021
5,Data Analyst,77900.0,10000+,2021
1,Data Analyst,3564.0,2-9,2021
6,Data Analyst,32429.0,10-100,2021
3,Data Analyst,32429.0,100-1000,2021
25,Data Analyst,160000.0,10-100,2021
10,Data Analyst,200000.0,100-1000,2021
7,Data Analyst,300000.0,10000+,2021
15,Data Analyst,175119.0,100-1000,2021
4,Data Analyst,22584.0,10-100,2021
10,Data Analyst,41796.0,10-100,2021
3,Data Analyst,18326.0,100-1000,2021
45,Data Analyst,651468.0,10000+,2021
3,Data Analyst,25944.0,100-1000,2021
1,Data Analyst,65000.0,100-1000,2021
3,Data Analyst,31400.0,2-9,2021
2,Data Analyst,23400.0,10-100,2021
20,Data Analyst,95000.0,10000+,2021
12,Data Analyst,30240.0,5000-9999,2021
Less than 1 year,Data Analyst,38778.0,10-100,2021
31,Data Analyst,82000.0,1000-4999,2021
1,Data Analyst,25131.0,2-9,2021
7,Data Analyst,15192.0,10000+,2021
22,Data Analyst,23352.0,10-100,2021
2,Data Analyst,64630.0,10-100,2021
16,Data Analyst,142308.0,10-100,2021
1,Data Analyst,10810.0,1,2021
9,Data Analyst,51704.0,2-9,2021
2,Data Analyst,70000.0,10-100,2021
3,Data Analyst,324300.0,2-9,2021
10,Data Analyst,50673.0,1000-4999,2021
15,Data Analyst,164604.0,10-100,2021
2,Data Analyst,54049.0,1000-4999,2021
13,Data Analyst,77831.0,10-100,2021
6,Data Analyst,16754.0,10-100,2021
5,Data Analyst,19728.0,10-100,2021
10,Data Analyst,45401.0,10-100,2021
12,Data Analyst,930672.0,1000-4999,2021
5,Data Analyst,38778.0,10-100,2021
11,Data Analyst,74497.0,10-100,2021
14,Data Analyst,972888.0,10000+,2021
3,Data Analyst,67452.0,10-100,2021
8,Data Analyst,41232.0,0,2021
9,Data Analyst,86000.0,100-1000,2021
5,Data Analyst,9888.0,100-1000,2021
10,Data Analyst,129250.0,1000-4999,2021
6,Data Analyst,200000.0,10-100,2021
15,Data Analyst,89000.0,10000+,2021
7,Data Analyst,17304.0,1,2021
1,Data Analyst,18000.0,2-9,2021
5,Data Analyst,19452.0,10-100,2021
10,Data Analyst,50000.0,10-100,2021
20,Data Analyst,152473.0,10-100,2021
3,Data Analyst,100000.0,100-1000,2021
11,Data Analyst,698.0,1,2021
4,Data Analyst,40000.0,10-100,2021
22,Data Analyst,40085.0,100-1000,2021
6,Data Analyst,25944.0,2-9,2021
3,Data Analyst,25944.0,100-1000,2021
4,Data Analyst,50000.0,10000+,2021
6,Data Analyst,76237.0,100-1000,2021
3,Data Analyst,1938888.0,1000-4999,2021
10,Data Analyst,98000.0,1000-4999,2021
3,Data Analyst,34591.0,10000+,2021
10,Data Analyst,83194.0,1000-4999,2021
1,Data Analyst,50000.0,100-1000,2021
2,Data Analyst,32424.0,1000-4999,2021
5,Data Analyst,24000.0,2-9,2021
5,Data Analyst,36193.0,1000-4999,2021
2,Data Analyst,3684.0,10-100,2021
25,Data Analyst,177885.0,10000+,2021
2,Data Analyst,59454.0,100-1000,2021
10,Data Analyst,16488.0,1000-4999,2021
5,Data Analyst,22692.0,2-9,2021
15,Data Analyst,73644.0,10-100,2021
Less than 1 year,Data Analyst,415092.0,5000-9999,2021
11,Data Analyst,151263.0,5000-9999,2021
6,Data Analyst,5028.0,2-9,2021
3,Data Analyst,85000.0,100-1000,2021
11,Data Analyst,68642.0,10000+,2021
3,Data Analyst,110256.0,1000-4999,2021
1,Data Analyst,100000.0,10-100,2021
5,Data Analyst,140000.0,1000-4999,2021
4,Data Analyst,18732.0,10-100,2021
15,Data Analyst,75000.0,100-1000,2021
14,Data Analyst,36193.0,1000-4999,2021
30,Data Analyst,110000.0,10000+,2021
8,Data Analyst,107990.0,10000+,2021
17,Data Analyst,100000.0,100-1000,2021
10,Data Analyst,51888.0,1,2021
1,Data Analyst,55000.0,2-9,2021
4,Data Analyst,11544.0,1000-4999,2021
16,Data Analyst,86478.0,10-100,2021
15,Data Analyst,151263.0,10000+,2021
32,Data Analyst,80000.0,10000+,2021
5,Data Analyst,130000.0,10000+,2021
12,Data Analyst,73507.0,5000-9999,2021
8,Data Analyst,130000.0,10-100,2021
36,Data Analyst,45564.0,1,2021
8,Data Analyst,97000.0,100-1000,2021
25,Data Analyst,77832.0,10-100,2021
4,Data Analyst,74000.0,100-1000,2021
4,Data Analyst,200000.0,1,2021
11,Data Analyst,86478.0,10-100,2021
7,Data Analyst,10896.0,10000+,2021
28,Data Analyst,115041.0,5000-9999,2021
18,Data Analyst,41232.0,1000-4999,2021
11,Data Analyst,72000.0,1000-4999,2021
4,Data Analyst,368592.0,10000+,2021
6,Data Analyst,45564.0,10000+,2021
10,Data Analyst,20000.0,1,2021
20,Data Analyst,175000.0,100-1000,2021
9,Data Analyst,107676.0,100-1000,2021
7,Data Analyst,110000.0,10-100,2021
3,Data Analyst,15096.0,1000-4999,2021
15,Data Analyst,38621.0,5000-9999,2021
24,Data Analyst,165000.0,10-100,2021
Less than 1 year,Data Analyst,50000.0,100-1000,2021
40,Data Analyst,137000.0,1000-4999,2021
5,Data Analyst,8076.0,100-1000,2021
2,Data Analyst,46891.0,10000+,2021
19,Data Analyst,125000.0,10-100,2021
3,Data Analyst,60000.0,100-1000,2021
26,Data Analyst,120000.0,10000+,2021
20,Data Analyst,41077.0,100-1000,2021
16,Data Analyst,86316.0,2-9,2021
10,Data Analyst,70264.0,1000-4999,2021
25,Data Analyst,215000.0,100-1000,2021
6,Data Analyst,54480.0,0,2021
4,Data Analyst,50806.0,100-1000,2021
2,Data Analyst,40000.0,2-9,2021
10,Data Analyst,39780.0,10-100,2021
9,Data Analyst,75669.0,100-1000,2021
Less than 1 year,Data Analyst,19128.0,10000+,2021
1,Data Analyst,34200.0,5000-9999,2021
6,Data Analyst,52000.0,5000-9999,2021
4,Data Analyst,22592.0,10000+,2021
5,Data Analyst,78156.0,2-9,2021
28,Data Analyst,150000.0,10000+,2021
2,Data Analyst,60000.0,10000+,2021
14,Data Analyst,192415.0,10000+,2021
24,Data Analyst,36888.0,10-100,2021
2,Data Analyst,2304.0,1,2021
12,Data Analyst,151250.0,10-100,2021
5,Data Analyst,39444.0,1000-4999,2021
4,Data Analyst,42000.0,1,2021
19,Data Analyst,145000.0,100-1000,2021
4,Data Analyst,93000.0,100-1000,2021
1,Data Analyst,37800.0,10000+,2021
17,Data Analyst,41232.0,1000-4999,2021
23,Data Analyst,125000.0,100-1000,2021
Less than 1 year,Data Analyst,22339.0,10000+,2021
5,Data Analyst,75631.0,5000-9999,2021
17,Data Analyst,165000.0,10-100,2021
1,Data Analyst,28800.0,100-1000,2021
25,Data Analyst,94550.0,1,2021
7,Data Analyst,85000.0,1000-4999,2021
7,Data Analyst,63000.0,100-1000,2021
Less than 1 year,Data Analyst,5184.0,1,2021
4,Data Analyst,64859.0,10000+,2021
3,Data Analyst,95000.0,10-100,2021
15,Data Analyst,113000.0,100-1000,2021
1,Data Analyst,48000.0,100-1000,2021
5,Data Analyst,75669.0,2-9,2021
1,Data Analyst,119000.0,10000+,2021
6,Data Analyst,104148.0,1000-4999,2021
4,Data Analyst,18501.0,2-9,2021
7,Data Analyst,85000.0,10000+,2021
21,Data Analyst,387778.0,1,2021
5,Data Analyst,73000.0,10000+,2021
6,Data Analyst,62045.0,100-1000,2021
5,Data Analyst,90000.0,10-100,2021
10,Data Analyst,140000.0,100-1000,2021
2,Data Analyst,34584.0,2-9,2021
9,Data Analyst,48644.0,10-100,2021
