YearsCodePro,DevType,ConvertedCompYearly,OrgSize,Year
14,Data Analyst,40872.0,10000+,2021
27,Data Analyst,26124.0,5000-9999,2021
2,Data Analyst,60000.0,10-100,2021
6,Data Analyst,55000.0,10-100,2021
3,Data Analyst,5496.0,10-100,2021
2,Data Analyst,35672.0,10-100,2021
9,Data Analyst,98000.0,100-1000,2021
20,Data Analyst,60505.0,100-1000,2021
21,Data Analyst,75669.0,1000-4999,2021
8,Data Analyst,10992.0,100-1000,2021
15,Data Analyst,118685.0,100-1000,2021
14,Data Analyst,158000.0,100-1000,2021
22,Data Analyst,89446.0,100-1000,2021
4,Data Analyst,75669.0,1000-4999,2021
22,Data Analyst,105000.0,10-100,2021
22,Data Analyst,120000.0,100-1000,2021
3,Data Analyst,13200.0,2-9,2021
27,Data Analyst,129259.0,1,2021
5,Data Analyst,100000.0,1000-4999,2021
4,Data Analyst,69800.0,100-1000,2021
5,Data Analyst,180000.0,1,2021
10,Data Analyst,69581.0,10-100,2021
29,Data Analyst,80000.0,1000-4999,2021
3,Data Analyst,69183.0,100-1000,2021
6,Data Analyst,17316.0,100-1000,2021
3,Data Analyst,62000.0,100-1000,2021
29,Data Analyst,48480.0,1000-4999,2021
10,Data Analyst,115200.0,100-1000,2021
6,Data Analyst,10992.0,2-9,2021
5,Data Analyst,97260.0,10000+,2021
14,Data Analyst,86316.0,1000-4999,2021
3,Data Analyst,85000.0,10-100,2021
10,Data Analyst,64287.0,5000-9999,2021
3,Data Analyst,37752.0,10-100,2021
7,Data Analyst,20885.0,1,2021
2,Data Analyst,43728.0,100-1000,2021
2,Data Analyst,11640.0,10-100,2021
4,Data Analyst,49632.0,100-1000,2021
24,Data Analyst,71.0,100-1000,2021
15,Data Analyst,129720.0,10-100,2021
1,Data Analyst,720000.0,100-1000,2021
21,Data Analyst,85000.0,10-100,2021
5,Data Analyst,40080.0,2-9,2021
15,Data Analyst,70000.0,10-100,2021
10,Data Analyst,100000.0,100-1000,2021
6,Data Analyst,70264.0,2-9,2021
5,Data Analyst,69000.0,100-1000,2021
10,Data Analyst,29736.0,100-1000,2021
20,Data Analyst,56460.0,10000+,2021
6,Data Analyst,5496.0,10-100,2021
3,Data Analyst,100000.0,100-1000,2021
2,Data Analyst,150000.0,10-100,2021
3,Data Analyst,70000.0,10000+,2021
6,Data Analyst,116896.0,10-100,2021
25,Data Analyst,200000.0,100-1000,2021
17,Data Analyst,70000.0,10-100,2021
5,Data Analyst,106000.0,10000+,2021
10,Data Analyst,120000.0,1000-4999,2021
9,Data Analyst,122580.0,2-9,2021
1,Data Analyst,6981.0,1000-4999,2021
3,Data Analyst,32000.0,10-100,2021
8,Data Analyst,27816.0,100-1000,2021
18,Data Analyst,72385.0,10-100,2021
Less than 1 year,Data Analyst,65000.0,10-100,2021
20,Data Analyst,109665.0,100-1000,2021
2,Data Analyst,100000.0,2-9,2021
2,Data Analyst,18288.0,10000+,2021
3,Data Analyst,35000.0,5000-9999,2021
4,Data Analyst,65000.0,2-9,2021
8,Data Analyst,120257.0,5000-9999,2021
2,Data Analyst,89110.0,10000+,2021
23,Data Analyst,44723.0,2-9,2021
13,Data Analyst,120000.0,100-1000,2021
18,Data Analyst,200000.0,1,2021
6,Data Analyst,70818.0,1000-4999,2021
20,Data Analyst,100214.0,1,2021
15,Data Analyst,204459.0,1000-4999,2021
7,Data Analyst,359716.0,1000-4999,2021
12,Data Analyst,53448.0,10-100,2021
3,Data Analyst,68507.0,100-1000,2021
4,Data Analyst,19236.0,10-100,2021
3,Data Analyst,3250000.0,10-100,2021
6,Data Analyst,27600.0,100-1000,2021
24,Data Analyst,34034.0,1,2021
10,Data Analyst,64860.0,1,2021
9,Data Analyst,155000.0,10-100,2021
2,Data Analyst,240000.0,1000-4999,2021
3,Data Analyst,2672400.0,2-9,2021
3,Data Analyst,100000.0,10-100,2021
10,Data Analyst,54972.0,1000-4999,2021
9,Data Analyst,6981.0,1000-4999,2021
12,Data Analyst,216196.0,2-9,2021
28,Data Analyst,60480.0,1000-4999,2021
16,Data Analyst,77831.0,1000-4999,2021
20,Data Analyst,135000.0,10-100,2021
3,Data Analyst,1200000.0,10-100,2021
13,Data Analyst,51000.0,10-100,2021
Less than 1 year,Data Analyst,85000.0,1,2021
1,Data Analyst,126938.0,10000+,2021
25,Data Analyst,64860.0,100-1000,2021
6,Data Analyst,98000.0,10000+,2021
10,Data Analyst,217000.0,10000+,2021
2,Data Analyst,67000.0,0,2021
32,Data Analyst,68146.0,100-1000,2021
25,Data Analyst,135000.0,10000+,2021
3,Data Analyst,140000.0,1000-4999,2021
5,Data Analyst,125000.0,10000+,2021
14,Data Analyst,58992.0,1,2021
3,Data Analyst,8986.0,10-100,2021
15,Data Analyst,173705.0,5000-9999,2021
15,Data Analyst,140000.0,100-1000,2021
7,Data Analyst,4189.0,1000-4999,2021
30,Data Analyst,96204.0,2-9,2021
10,Data Analyst,51444.0,10000+,2021
5,Data Analyst,51440.0,100-1000,2021
3,Data Analyst,49974.0,10-100,2021
6,Data Analyst,31356.0,10-100,2021
6,Data Analyst,75631.0,10-100,2021
12,Data Analyst,53760.0,100-1000,2021
12,Data Analyst,93533.0,2-9,2021
5,Data Analyst,70000.0,10-100,2021
10,Data Analyst,80172.0,10-100,2021
3,Data Analyst,26700.0,0,2021
44,Data Analyst,962064.0,1,2021
20,Data Analyst,175000.0,1000-4999,2021
2,Data Analyst,4944.0,10-100,2021
5,Data Analyst,63469.0,1000-4999,2021
4,Data Analyst,10344.0,100-1000,2021
3,Data Analyst,5096.0,1000-4999,2021
Less than 1 year,Data Analyst,6636.0,10-100,2021
5,Data Analyst,75669.0,10000+,2021
10,Data Analyst,66810.0,1000-4999,2021
16,Data Analyst,661560.0,2-9,2021
5,Data Analyst,165000.0,10000+,2021
7,Data Analyst,37968.0,100-1000,2021
5,Data Analyst,12566.0,10000+,2021
3,Data Analyst,50000.0,10-100,2021
16,Data Analyst,45396.0,1,2021
2,Data Analyst,11328.0,0,2021
15,Data Analyst,66480.0,100-1000,2021
4,Data Analyst,121391.0,0,2021
5,Data Analyst,19546.0,100-1000,2021
12,Data Analyst,500000.0,10-100,2021
3,Data Analyst,10932.0,10000+,2021
13,Data Analyst,17412.0,100-1000,2021
6,Data Analyst,9948.0,0,2021
10,Data Analyst,89929.0,5000-9999,2021
23,Data Analyst,304836.0,1,2021
9,Data Analyst,151350.0,2-9,2021
2,Data Analyst,2508.0,10-100,2021
12,Data Analyst,35508.0,10-100,2021
7,Data Analyst,59454.0,10000+,2021
6,Data Analyst,108098.0,10000+,2021
11,Data Analyst,58373.0,100-1000,2021
7,Data Analyst,9216.0,2-9,2021
20,Data Analyst,103408.0,1,2021
40,Data Analyst,71345.0,100-1000,2021
Less than 1 year,Data Analyst,192168.0,100-1000,2021
7,Data Analyst,12936.0,5000-9999,2021
1,Data Analyst,8376.0,10-100,2021
36,Data Analyst,55847.0,10-100,2021
27,Data Analyst,86478.0,10-100,2021
4,Data Analyst,36753.0,100-1000,2021
15,Data Analyst,67200.0,1,2021
12,Data Analyst,28860.0,100-1000,2021
15,Data Analyst,66156.0,10-100,2021
3,Data Analyst,38778.0,2-9,2021
Less than 1 year,Data Analyst,2508.0,1,2021
10,Data Analyst,103408.0,5000-9999,2021
11,Data Analyst,120000.0,100-1000,2021
6,Data Analyst,39108.0,2-9,2021
16,Data Analyst,16815.0,2-9,2021
13,Data Analyst,48644.0,1000-4999,2021
21,Data Analyst,75936.0,1,2021
10,Data Analyst,152473.0,10000+,2021
12,Data Analyst,41112.0,5000-9999,2021
15,Data Analyst,46704.0,10-100,2021
5,Data Analyst,101311.0,10000+,2021
4,Data Analyst,19452.0,100-1000,2021
4,Data Analyst,30000.0,2-9,2021
20,Data Analyst,89446.0,10-100,2021
Less than 1 year,Data Analyst,5585.0,10000+,2021
1,Data Analyst,4656.0,2-9,2021
3,Data Analyst,14268.0,5000-9999,2021
4,Data Analyst,6996.0,10-100,2021
4,Data Analyst,40032.0,10-100,2021
10,Data Analyst,100020.0,10-100,2021
2,Data Analyst,18876.0,10-100,2021
5,Data Analyst,52996.0,10-100,2021
5,Data Analyst,10452.0,2-9,2021
2,Data Analyst,32429.0,10000+,2021
4,Data Analyst,21328.0,10-100,2021
2,Data Analyst,21620.0,100-1000,2021
5,Data Analyst,37834.0,100-1000,2021
4,Data Analyst,56211.0,1000-4999,2021
12,Data Analyst,79572.0,100-1000,2021
8,Data Analyst,97288.0,10000+,2021
15,Data Analyst,63564.0,100-1000,2021
15,Data Analyst,71093.0,100-1000,2021
4,Data Analyst,48644.0,10000+,2021
10,Data Analyst,25131.0,10000+,2021
2,Data Analyst,41363.0,10-100,2021
2,Data Analyst,7908.0,1000-4999,2021
3,Data Analyst,8377.0,1000-4999,2021
6,Data Analyst,36444.0,10000+,2021
14,Data Analyst,13812.0,100-1000,2021
3,Data Analyst,12801.0,100-1000,2021
3,Data Analyst,37980.0,10000+,2021
5,Data Analyst,54480.0,1000-4999,2021
Less than 1 year,Data Analyst,31348.0,10-100,2021
14,Data Analyst,77940.0,10-100,2021
5,Data Analyst,38916.0,10-100,2021
2,Data Analyst,24648.0,0,2021
22,Data Analyst,81821.0,10000+,2021
Less than 1 year,Data Analyst,31128.0,2-9,2021
2,Data Analyst,31944.0,100-1000,2021
10,Data Analyst,47352.0,10-100,2021
2,Data Analyst,4908.0,2-9,2021
2,Data Analyst,13596.0,10-100,2021
5,Data Analyst,24648.0,2-9,2021
8,Data Analyst,59189.0,100-1000,2021
7,Data Analyst,32538.0,10-100,2021
25,Data Analyst,173676.0,1,2021
25,Data Analyst,85308.0,2-9,2021
2,Data Analyst,7764.0,10-100,2021
6,Data Analyst,20943.0,100-1000,2021
3,Data Analyst,115272.0,1,2021
3,Data Analyst,23688.0,1000-4999,2021
5,Data Analyst,2143.0,10000+,2021
3,Data Analyst,60787.0,1000-4999,2021
5,Data Analyst,30372.0,10-100,2021
12,Data Analyst,92000.0,10000+,2021
20,Data Analyst,51888.0,2-9,2021
4,Data Analyst,38915.0,2-9,2021
25,Data Analyst,63816.0,100-1000,2021
10,Data Analyst,23352.0,10-100,2021
2,Data Analyst,51704.0,10-100,2021
9,Data Analyst,39636.0,10000+,2021
Less than 1 year,Data Analyst,25944.0,10-100,2021
3,Data Analyst,37485.0,1000-4999,2021
21,Data Analyst,75669.0,1,2021
33,Data Analyst,744540.0,2-9,2021
14,Data Analyst,11328.0,100-1000,2021
10,Data Analyst,41597.0,1000-4999,2021
4,Data Analyst,70264.0,10-100,2021
1,Data Analyst,60792.0,10-100,2021
17,Data Analyst,117228.0,100-1000,2021
3,Data Analyst,102300.0,1000-4999,2021
3,Data Analyst,46482.0,100-1000,2021
7,Data Analyst,43239.0,10000+,2021
18,Data Analyst,64630.0,100-1000,2021
3,Data Analyst,85397.0,1000-4999,2021
5,Data Analyst,15192.0,10-100,2021
27,Data Analyst,26124.0,5000-9999,2021
2,Data Analyst,9216.0,10-100,2021
20,Data Analyst,64860.0,10-100,2021
20,Data Analyst,275000.0,2-9,2021
10,Data Analyst,92364.0,100-1000,2021
6,Data Analyst,20943.0,100-1000,2021
5,Data Analyst,20784.0,1,2021
4,Data Analyst,37834.0,10-100,2021
24,Data Analyst,21720.0,1,2021
12,Data Analyst,51887.0,100-1000,2021
3,Data Analyst,69183.0,10000+,2021
2,Data Analyst,43239.0,1000-4999,2021
14,Data Analyst,19464.0,10-100,2021
36,Data Analyst,115000.0,1000-4999,2021
2,Data Analyst,30156.0,10-100,2021
15,Data Analyst,51636.0,100-1000,2021
27,Data Analyst,103408.0,10-100,2021
3,Data Analyst,10000.0,1,2021
6,Data Analyst,110000.0,1000-4999,2021
3,Data Analyst,15358.0,10000+,2021
8,Data Analyst,34591.0,10-100,2021
28,Data Analyst,21996.0,2-9,2021
5,Data Analyst,4944.0,100-1000,2021
26,Data Analyst,97288.0,10000+,2021
9,Data Analyst,38484.0,1000-4999,2021
13,Data Analyst,54480.0,10-100,2021
16,Data Analyst,5000000.0,10000+,2021
17,Data Analyst,68068.0,100-1000,2021
6,Data Analyst,43239.0,100-1000,2021
16,Data Analyst,97000.0,100-1000,2021
4,Data Analyst,38778.0,100-1000,2021
10,Data Analyst,4250000.0,1000-4999,2021
4,Data Analyst,78156.0,1000-4999,2021
2,Data Analyst,65000.0,0,2021
5,Data Analyst,45241.0,100-1000,2021
5,Data Analyst,46440.0,10-100,2021
6,Data Analyst,300000.0,100-1000,2021
13,Data Analyst,112000.0,1000-4999,2021
12,Data Analyst,75669.0,100-1000,2021
32,Data Analyst,95000.0,100-1000,2021
16,Data Analyst,325000.0,10-100,2021
2,Data Analyst,55000.0,10-100,2021
13,Data Analyst,32568.0,10-100,2021
3,Data Analyst,11028.0,10-100,2021
19,Data Analyst,73362.0,100-1000,2021
9,Data Analyst,38916.0,10-100,2021
30,Data Analyst,77556.0,10-100,2021
21,Data Analyst,1800000.0,100-1000,2021
3,Data Analyst,8796.0,100-1000,2021
10,Data Analyst,61980.0,100-1000,2021
32,Data Analyst,125000.0,10000+,2021
17,Data Analyst,20064.0,10-100,2021
4,Data Analyst,90000.0,5000-9999,2021
35,Data Analyst,72823.0,2-9,2021
8,Data Analyst,123600.0,1000-4999,2021
4,Data Analyst,58368.0,100-1000,2021
7,Data Analyst,6900.0,1,2021
3,Data Analyst,34034.0,1,2021
3,Data Analyst,20244.0,100-1000,2021
10,Data Analyst,390000.0,10-100,2021
2,Data Analyst,12372.0,10-100,2021
8,Data Analyst,38778.0,1000-4999,2021
7,Data Analyst,63469.0,10-100,2021
7,Data Analyst,85000.0,100-1000,2021
4,Data Analyst,64000.0,100-1000,2021
10,Data Analyst,150000.0,10-100,2021
15,Data Analyst,51888.0,1,2021
6,Data Analyst,69581.0,5000-9999,2021
21,Data Analyst,125000.0,2-9,2021
20,Data Analyst,86606.0,10-100,2021
3,Data Analyst,38778.0,100-1000,2021
7,Data Analyst,13428.0,10-100,2021
6,Data Analyst,22644.0,10-100,2021
2,Data Analyst,544812.0,10000+,2021
5,Data Analyst,70000.0,1000-4999,2021
23,Data Analyst,19236.0,10-100,2021
3,Data Analyst,12972.0,2-9,2021
30,Data Analyst,72000.0,100-1000,2021
6,Data Analyst,77000.0,1000-4999,2021
3,Data Analyst,17148.0,0,2021
24,Data Analyst,85908.0,2-9,2021
6,Data Analyst,64859.0,100-1000,2021
10,Data Analyst,107676.0,5000-9999,2021
10,Data Analyst,60984.0,10-100,2021
5,Data Analyst,50000.0,100-1000,2021
17,Data Analyst,43200.0,1,2021
21,Data Analyst,67848.0,1,2021
1,Data Analyst,78156.0,10-100,2021
4,Data Analyst,15096.0,1000-4999,2021
41,Data Analyst,146160.0,100-1000,2021
11,Data Analyst,80059.0,1000-4999,2021
1,Data Analyst,96000.0,10-100,2021
4,Data Analyst,43239.0,1000-4999,2021
8,Data Analyst,24540.0,100-1000,2021
3,Data Analyst,34591.0,2-9,2021
1,Data Analyst,75000.0,100-1000,2021
6,Data Analyst,26527.0,10-100,2021
3,Data Analyst,8460.0,10000+,2021
3,Data Analyst,45240.0,1000-4999,2021
8,Data Analyst,130000.0,100-1000,2021
15,Data Analyst,33504.0,100-1000,2021
3,Data Analyst,22776.0,10-100,2021
3,Data Analyst,41508.0,10-100,2021
1,Data Analyst,2076.0,1000-4999,2021
10,Data Analyst,28500.0,2-9,2021
25,Data Analyst,140000.0,10000+,2021
20,Data Analyst,77832.0,1000-4999,2021
12,Data Analyst,84019.0,2-9,2021
4,Data Analyst,47563.0,10-100,2021
21,Data Analyst,115000.0,2-9,2021
34,Data Analyst,52886.0,5000-9999,2021
12,Data Analyst,100000.0,10000+,2021
Less than 1 year,Data Analyst,1716.0,2-9,2021
6,Data Analyst,31896.0,10000+,2021
5,Data Analyst,63596.0,100-1000,2021
10,Data Analyst,34296.0,1,2021
4,Data Analyst,51444.0,10000+,2021
5,Data Analyst,110000.0,10000+,2021
Less than 1 year,Data Analyst,32580.0,10000+,2021
27,Data Analyst,225000.0,10000+,2021
7,Data Analyst,583728.0,10000+,2021
2,Data Analyst,22056.0,10-100,2021
2,Data Analyst,90000.0,100-1000,2021
5,Data Analyst,78848.0,1000-4999,2021
Less than 1 year,Data Analyst,3500.0,2-9,2021
2,Data Analyst,105000.0,1000-4999,2021
26,Data Analyst,80000.0,10-100,2021
4,Data Analyst,63564.0,100-1000,2021
3,Data Analyst,80000.0,100-1000,2021
25,Data Analyst,50806.0,1000-4999,2021
3,Data Analyst,8377.0,100-1000,2021
20,Data Analyst,54049.0,10-100,2021
3,Data Analyst,98000.0,5000-9999,2021
30,Data Analyst,24324.0,100-1000,2021
25,Data Analyst,95000.0,1,2021
40,Data Analyst,54049.0,100-1000,2021
2,Data Analyst,22644.0,10000+,2021
32,Data Analyst,147000.0,10-100,2021
2,Data Analyst,89000.0,1,2021
3,Data Analyst,11169.0,100-1000,2021
3,Data Analyst,120000.0,10000+,2021
20,Data Analyst,100000.0,1000-4999,2021
10,Data Analyst,20000.0,1,2021
10,Data Analyst,135000.0,1,2021
28,Data Analyst,49725.0,100-1000,2021
24,Data Analyst,180000.0,10000+,2021
15,Data Analyst,130000.0,10-100,2021
15,Data Analyst,100176.0,10-100,2021
31,Data Analyst,14460.0,10000+,2021
6,Data Analyst,45401.0,1000-4999,2021
25,Data Analyst,81074.0,100-1000,2021
2,Data Analyst,42960.0,10000+,2021
25,Data Analyst,97308.0,2-9,2021
15,Data Analyst,219741.0,1000-4999,2021
33,Data Analyst,140000.0,10-100,2021
15,Data Analyst,9696.0,5000-9999,2021
5,Data Analyst,145358.0,5000-9999,2021
27,Data Analyst,39564.0,1000-4999,2021
44,Data Analyst,111000.0,100-1000,2021
10,Data Analyst,135000.0,10-100,2021
15,Data Analyst,150000.0,10000+,2021
24,Data Analyst,50000.0,2-9,2021
2,Data Analyst,29320.0,2-9,2021
3,Data Analyst,28248.0,10-100,2021
20,Data Analyst,95000.0,10-100,2021
15,Data Analyst,1240896.0,2-9,2021
5,Data Analyst,9672.0,10-100,2021
2,Data Analyst,61368.0,10-100,2021
5,Data Analyst,17652.0,10-100,2021
10,Data Analyst,41568.0,1000-4999,2021
1,Data Analyst,24744.0,100-1000,2021
20,Data Analyst,84019.0,10-100,2021
13,Data Analyst,71472.0,1000-4999,2021
22,Data Analyst,38000.0,2-9,2021
2,Data Analyst,55211.0,10-100,2021
2,Data Analyst,135000.0,10-100,2021
8,Data Analyst,87500.0,10-100,2021
8,Data Analyst,210000.0,10-100,2021
20,Data Analyst,85000.0,100-1000,2021
7,Data Analyst,8400.0,10-100,2021
Less than 1 year,Data Analyst,5040.0,10-100,2021
4,Data Analyst,31020.0,100-1000,2021
3,Data Analyst,49450.0,10-100,2021
12,Data Analyst,24744.0,100-1000,2021
8,Data Analyst,150000.0,10000+,2021
31,Data Analyst,480000.0,1,2021
Less than 1 year,Data Analyst,8377.0,10-100,2021
16,Data Analyst,64860.0,2-9,2021
5,Data Analyst,46000.0,100-1000,2021
22,Data Analyst,95162.0,10-100,2021
18,Data Analyst,120000.0,10000+,2021
