Experience_Years,Job_Position,Salary,Company_Size,Year
4,Data Analyst,22764.0,100000,2022
1,Data Analyst,127972.0,100000,2022
24,Data Analyst,61472.0,100,2022
20,Data Analyst,51192.0,10,2022
6,Data Analyst,47172.0,1000,2022
9,Data Analyst,37752.0,10,2022
4,Data Analyst,49368.0,100,2022
1,Data Analyst,23462.0,10000,2022
5,Data Analyst,23462.0,100000,2022
7,Data Analyst,39672.0,10,2022
6,Data Analyst,82736.0,1000,2022
6,Data Analyst,57588.0,50000,2022
3,Data Analyst,63986.0,1000,2022
11,Data Analyst,83256.0,1000,2022
30,Data Analyst,106793.0,10000,2022
12,Data Analyst,51589.0,10,2022
2,Data Analyst,16863.0,100000,2022
4,Data Analyst,63984.0,100,2022
4,Data Analyst,36072.0,1000,2022
14,Data Analyst,12036.0,50000,2022
18,Data Analyst,41461.0,1000,2022
3,Data Analyst,27756.0,50000,2022
1,Data Analyst,59720.0,100,2022
4,Data Analyst,81666.0,1000,2022
5,Data Analyst,44796.0,100,2022
5,Data Analyst,56538.0,10,2022
5,Data Analyst,60787.0,100,2022
1,Data Analyst,31992.0,10,2022
5,Data Analyst,60924.0,50000,2022
12,Data Analyst,11880.0,1000,2022
31,Data Analyst,141542.0,10000,2022
8,Data Analyst,72000.0,10000,2022
4,Data Analyst,9228.0,1000,2022
30,Data Analyst,140000.0,50000,2022
27,Data Analyst,212313.0,100,2022
4,Data Analyst,26700.0,100,2022
6,Data Analyst,70276.0,100000,2022
12,Data Analyst,51960.0,100000,2022
20,Data Analyst,100511.0,10,2022
17,Data Analyst,50256.0,1000,2022
21,Data Analyst,72983.0,100000,2022
9,Data Analyst,44790.0,100,2022
5,Data Analyst,6964.0,100,2022
2,Data Analyst,34126.0,100,2022
6,Data Analyst,98520.0,100,2022
15,Data Analyst,299136.0,1000,2022
9,Data Analyst,17772.0,100,2022
14,Data Analyst,47990.0,1000,2022
8,Data Analyst,13044.0,100,2022
1,Data Analyst,21528.0,10000,2022
5,Data Analyst,34.0,100000,2022
9,Data Analyst,1128000.0,100,2022
11,Data Analyst,49908.0,100,2022
5,Data Analyst,113761.0,1000,2022
13,Data Analyst,44796.0,100,2022
8,Data Analyst,79983.0,100000,2022
2,Data Analyst,45857.0,100000,2022
3,Data Analyst,42657.0,50000,2022
11,Data Analyst,85038.0,100,2022
10,Data Analyst,58548.0,50000,2022
6,Data Analyst,1241028.0,50000,2022
10,Data Analyst,201023.0,1000,2022
4,Data Analyst,11607.0,1000,2022
3,Data Analyst,63986.0,100,2022
22,Data Analyst,94230.0,1000,2022
21,Data Analyst,106644.0,100,2022
25,Data Analyst,58872.0,10000,2022
2,Data Analyst,2328.0,100,2022
15,Data Analyst,32916.0,100,2022
15,Data Analyst,51192.0,50000,2022
2,Data Analyst,828000.0,100,2022
8,Data Analyst,250000.0,10000,2022
37,Data Analyst,141542.0,10,2022
6,Data Analyst,83184.0,100000,2022
4,Data Analyst,20000.0,1000,2022
4,Data Analyst,47990.0,50000,2022
7,Data Analyst,110000.0,1000,2022
8,Data Analyst,77896.0,50000,2022
20,Data Analyst,54659.0,100000,2022
4,Data Analyst,37692.0,50000,2022
35,Data Analyst,40205.0,1000,2022
1,Data Analyst,47990.0,100000,2022
2,Data Analyst,934752.0,1000,2022
6,Data Analyst,150000.0,50000,2022
20,Data Analyst,93701.0,100,2022
11,Data Analyst,77848.0,100000,2022
4,Data Analyst,88800.0,1000,2022
7,Data Analyst,106644.0,50000,2022
8,Data Analyst,105000.0,1000,2022
15,Data Analyst,572916.0,1000,2022
1,Data Analyst,18312.0,10,2022
9,Data Analyst,120000.0,10,2022
5,Data Analyst,18192.0,10,2022
20,Data Analyst,93701.0,100,2022
6,Data Analyst,200000.0,50000,2022
12,Data Analyst,85315.0,100000,2022
5,Data Analyst,130000.0,100000,2022
1,Data Analyst,10704.0,100,2022
10,Data Analyst,142000.0,1000,2022
10,Data Analyst,53322.0,1000,2022
8,Data Analyst,149301.0,10000,2022
18,Data Analyst,37932.0,1000,2022
7,Data Analyst,35000.0,100000,2022
24,Data Analyst,95263.0,100,2022
16,Data Analyst,29860.0,50000,2022
13,Data Analyst,170000.0,1000,2022
24,Data Analyst,250000.0,100000,2022
1,Data Analyst,70000.0,100,2022
1,Data Analyst,13872.0,1000,2022
9,Data Analyst,148360.0,100000,2022
4,Data Analyst,7512.0,100,2022
7,Data Analyst,103700.0,100000,2022
15,Data Analyst,69102.0,100,2022
13,Data Analyst,90864.0,10000,2022
6,Data Analyst,85000.0,10,2022
3,Data Analyst,56736.0,10,2022
4,Data Analyst,38392.0,50000,2022
7,Data Analyst,130000.0,100000,2022
6,Data Analyst,130000.0,1000,2022
7,Data Analyst,24420.0,1000,2022
6,Data Analyst,42717.0,100000,2022
10,Data Analyst,145000.0,50000,2022
5,Data Analyst,32000.0,50000,2022
8,Data Analyst,94230.0,100,2022
5,Data Analyst,49856.0,100,2022
40,Data Analyst,130000.0,10,2022
3,Data Analyst,26661.0,100,2022
7,Data Analyst,51589.0,100000,2022
8,Data Analyst,63986.0,1000,2022
6,Data Analyst,106793.0,1000,2022
16,Data Analyst,116000.0,1000,2022
12,Data Analyst,84000.0,1000,2022
11,Data Analyst,96000.0,1000,2022
14,Data Analyst,2243520.0,50000,2022
22,Data Analyst,114000.0,100000,2022
15,Data Analyst,103000.0,100,2022
6,Data Analyst,150000.0,100000,2022
3,Data Analyst,36184.0,10,2022
7,Data Analyst,88000.0,100,2022
5,Data Analyst,62467.0,100,2022
10,Data Analyst,40956.0,100,2022
4,Data Analyst,42657.0,1000,2022
4,Data Analyst,176.0,10,2022
12,Data Analyst,65000.0,100,2022
8,Data Analyst,25596.0,10,2022
3,Data Analyst,10800.0,100,2022
9,Data Analyst,111000.0,1000,2022
23,Data Analyst,149000.0,100000,2022
6,Data Analyst,44790.0,50000,2022
12,Data Analyst,150000.0,10000,2022
7,Data Analyst,188292.0,1000,2022
2,Data Analyst,3450000.0,100000,2022
9,Data Analyst,290000.0,100,2022
10,Data Analyst,83182.0,100000,2022
5,Data Analyst,120000.0,1000,2022
25,Data Analyst,85315.0,10,2022
1,Data Analyst,87000.0,1000,2022
16,Data Analyst,300000.0,100000,2022
15,Data Analyst,90224.0,50000,2022
20,Data Analyst,140000.0,10,2022
15,Data Analyst,85000.0,50000,2022
7,Data Analyst,162714.0,100000,2022
10,Data Analyst,100000.0,1000,2022
20,Data Analyst,215000.0,100,2022
12,Data Analyst,71837.0,100,2022
2,Data Analyst,70000.0,50000,2022
7,Data Analyst,39036.0,10000,2022
30,Data Analyst,102372.0,100000,2022
32,Data Analyst,5000000.0,1000,2022
2,Data Analyst,75000.0,100000,2022
25,Data Analyst,83184.0,100,2022
11,Data Analyst,80000.0,10,2022
11,Data Analyst,44796.0,50000,2022
4,Data Analyst,21684.0,100,2022
17,Data Analyst,135000.0,100,2022
1,Data Analyst,12468.0,100,2022
3,Data Analyst,20400.0,10,2022
18,Data Analyst,29136.0,100,2022
19,Data Analyst,69318.0,100,2022
4,Data Analyst,55455.0,1000,2022
5,Data Analyst,780000.0,100000,2022
20,Data Analyst,98628.0,10,2022
8,Data Analyst,85000.0,1000,2022
1,Data Analyst,7093.0,100000,2022
6,Data Analyst,45000.0,1000,2022
24,Data Analyst,350000.0,100,2022
17,Data Analyst,76783.0,50000,2022
14,Data Analyst,95000.0,10,2022
1,Data Analyst,85000.0,100000,2022
8,Data Analyst,44796.0,100,2022
23,Data Analyst,34896.0,100,2022
3,Data Analyst,840.0,1000,2022
8,Data Analyst,16368.0,50000,2022
3,Data Analyst,10104.0,100,2022
17,Data Analyst,127972.0,100000,2022
22,Data Analyst,1500.0,100,2022
13,Data Analyst,68000.0,100,2022
14,Data Analyst,66240.0,100,2022
5,Data Analyst,37932.0,1000,2022
19,Data Analyst,83550.0,1000,2022
8,Data Analyst,140000.0,100,2022
4,Data Analyst,14448.0,100000,2022
35,Data Analyst,125000.0,100000,2022
31,Data Analyst,70771.0,1000,2022
2,Data Analyst,60000.0,100,2022
3,Data Analyst,87000.0,10000,2022
1,Data Analyst,90550.0,100000,2022
27,Data Analyst,67308.0,50000,2022
22,Data Analyst,48000.0,10000,2022
14,Data Analyst,155696.0,100000,2022
5,Data Analyst,175000.0,1000,2022
5,Data Analyst,92002.0,50000,2022
24,Data Analyst,85000.0,1000,2022
10,Data Analyst,8196.0,1000,2022
15,Data Analyst,75080.0,10000,2022
20,Data Analyst,77383.0,100000,2022
3,Data Analyst,26594.0,50000,2022
