,Experience_Years,Job_Position,Salary,Year
198,1,1,43000.0,2020
199,1,1,50000.0,2020
200,1,1,63000.0,2020
201,1,1,66000.0,2020
202,1,1,50000.0,2020
203,1,1,58792.0,2020
204,1,1,54000.0,2020
205,1,1,53724.0,2020
206,1,1,45000.0,2020
207,1,1,53448.0,2020
208,1,1,55000.0,2020
209,1,1,47563.0,2020
210,1,1,42804.0,2020
211,1,1,60000.0,2020
212,1,1,67452.0,2020
213,1,1,67500.0,2020
214,1,1,60000.0,2020
215,1,1,65000.0,2020
216,1,1,41618.0,2020
217,1,1,45000.0,2020
218,1,1,64000.0,2020
219,1,1,54049.0,2020
220,1,1,45396.0,2020
221,1,1,60129.0,2020
222,1,1,48644.0,2020
223,1,1,45000.0,2020
224,1,1,54049.0,2020
225,1,1,60000.0,2020
226,1,1,50000.0,2020
227,1,1,65000.0,2020
228,1,1,50196.0,2020
229,1,1,49092.0,2020
230,1,1,53957.0,2020
231,1,1,44320.0,2020
232,1,1,64859.0,2020
233,1,1,51888.0,2020
234,1,1,45000.0,2020
235,1,1,48000.0,2020
236,1,2,48950.0,2020
237,1,2,50000.0,2020
238,1,2,51997.0,2020
239,1,2,55000.0,2020
240,1,2,55000.0,2020
241,1,2,51888.0,2020
242,1,2,48644.0,2020
243,1,2,62616.0,2020
244,1,2,48792.0,2020
245,1,2,48795.0,2020
246,1,2,54049.0,2020
247,1,2,43239.0,2020
248,1,2,43948.0,2020
249,1,2,50000.0,2020
250,1,2,56345.0,2020
251,1,2,58792.0,2020
252,1,2,45241.0,2020
253,1,2,54049.0,2020
254,1,2,53448.0,2020
255,1,2,59454.0,2020
256,1,2,62697.0,2020
257,1,2,45396.0,2020
258,1,2,45742.0,2020
259,1,2,54049.0,2020
260,1,2,50806.0,2020
261,1,2,60000.0,2020
262,1,2,67500.0,2020
263,1,2,68000.0,2020
264,1,2,62000.0,2020
265,1,2,61140.0,2020
266,1,2,42418.0,2020
267,1,2,58167.0,2020
268,1,2,64324.0,2020
269,1,2,54049.0,2020
270,1,2,54049.0,2020
271,1,2,54049.0,2020
272,1,2,59052.0,2020
273,1,2,49160.0,2020
274,1,2,65000.0,2020
275,1,2,45241.0,2020
276,1,2,67215.0,2020
277,1,2,49092.0,2020
278,1,2,50000.0,2020
279,1,2,44320.0,2020
280,1,2,51888.0,2020
281,1,2,58167.0,2020
282,1,2,48648.0,2020
283,1,2,53184.0,2020
284,1,2,48000.0,2020
285,1,2,52968.0,2020
286,1,2,48000.0,2020
287,1,3,48950.0,2020
288,1,3,50000.0,2020
289,1,3,51997.0,2020
290,1,3,55000.0,2020
291,1,3,55000.0,2020
292,1,3,51888.0,2020
293,1,3,48644.0,2020
294,1,3,62616.0,2020
295,1,3,48792.0,2020
296,1,3,48795.0,2020
297,1,3,54049.0,2020
298,1,3,43239.0,2020
299,1,3,43948.0,2020
300,1,3,50000.0,2020
301,1,3,56345.0,2020
302,1,3,58792.0,2020
303,1,3,45241.0,2020
304,1,3,54049.0,2020
305,1,3,53448.0,2020
306,1,3,59454.0,2020
307,1,3,62697.0,2020
308,1,3,45396.0,2020
309,1,3,45742.0,2020
310,1,3,54049.0,2020
311,1,3,50806.0,2020
312,1,3,60000.0,2020
313,1,3,67500.0,2020
314,1,3,68000.0,2020
315,1,3,62000.0,2020
316,1,3,61140.0,2020
317,1,3,42418.0,2020
318,1,3,58167.0,2020
319,1,3,64324.0,2020
320,1,3,54049.0,2020
321,1,3,54049.0,2020
322,1,3,54049.0,2020
323,1,3,59052.0,2020
324,1,3,49160.0,2020
325,1,3,65000.0,2020
326,1,3,45241.0,2020
327,1,3,67215.0,2020
328,1,3,49092.0,2020
329,1,3,50000.0,2020
330,1,3,44320.0,2020
331,1,3,51888.0,2020
332,1,3,58167.0,2020
333,1,3,48648.0,2020
334,1,3,53184.0,2020
335,1,3,48000.0,2020
336,1,3,52968.0,2020
337,1,3,48000.0,2020
338,1,1,50000.0,2019
339,1,1,56650.0,2019
340,1,1,51400.0,2019
341,1,1,56000.0,2019
342,1,1,42000.0,2019
343,1,1,50000.0,2019
344,1,1,65000.0,2019
345,1,1,45000.0,2019
346,1,1,47500.0,2019
347,1,1,50000.0,2019
348,1,1,57500.0,2019
349,1,1,56000.0,2019
350,1,1,48000.0,2019
351,1,1,44500.0,2019
352,1,1,64000.0,2019
353,1,1,50000.0,2019
354,1,1,43000.0,2019
355,1,1,61079.0,2019
356,1,1,50000.0,2019
357,1,1,45000.0,2019
358,1,1,49700.0,2019
359,1,1,50000.0,2019
360,1,1,58000.0,2019
361,1,1,52000.0,2019
362,1,1,63000.0,2019
363,1,1,58300.0,2019
364,1,1,55583.0,2019
365,1,1,45000.0,2019
366,1,1,42000.0,2019
367,1,1,65000.0,2019
368,1,1,67000.0,2019
369,1,1,57750.0,2019
370,1,1,45000.0,2019
371,1,1,60000.0,2019
372,1,1,66000.0,2019
373,1,1,62000.0,2019
374,1,1,50000.0,2019
375,1,1,60000.0,2019
376,1,1,50000.0,2019
377,1,1,65500.0,2019
378,1,1,67000.0,2019
379,1,1,60000.0,2019
380,1,1,58000.0,2019
381,1,1,48000.0,2019
382,1,1,42000.0,2019
383,1,1,50000.0,2019
384,1,1,42000.0,2019
385,1,1,43000.0,2019
386,1,1,45000.0,2019
387,1,1,66000.0,2019
388,1,1,60000.0,2019
389,1,1,53000.0,2019
390,1,1,65000.0,2019
391,1,1,53500.0,2019
392,1,1,50000.0,2019
393,1,1,42000.0,2019
394,1,1,49000.0,2019
395,1,1,52000.0,2019
396,1,1,65000.0,2019
397,1,1,60000.0,2019
398,1,1,52500.0,2019
399,1,1,46000.0,2019
400,1,1,60000.0,2019
401,1,1,55000.0,2019
402,1,1,50000.0,2019
403,1,1,65000.0,2019
404,1,1,60000.0,2019
405,1,1,65000.0,2019
406,1,1,53500.0,2019
407,1,1,60000.0,2019
408,1,1,53795.0,2019
409,1,1,60000.0,2019
410,1,1,45000.0,2019
411,1,1,65000.0,2019
412,1,1,50000.0,2019
413,1,1,65000.0,2019
414,1,1,42000.0,2019
415,1,1,55000.0,2019
416,1,1,60000.0,2019
417,1,1,65000.0,2019
418,1,1,65000.0,2019
419,1,1,44000.0,2019
420,1,1,65000.0,2019
421,1,1,51000.0,2019
422,1,1,55000.0,2019
423,1,2,45000.0,2019
424,1,2,51400.0,2019
425,1,2,65000.0,2019
426,1,2,50000.0,2019
427,1,2,51400.0,2019
428,1,2,50000.0,2019
429,1,2,44500.0,2019
430,1,2,52000.0,2019
431,1,2,68000.0,2019
432,1,2,50000.0,2019
433,1,2,50000.0,2019
434,1,2,52000.0,2019
435,1,2,63000.0,2019
436,1,2,42000.0,2019
437,1,2,50000.0,2019
438,1,2,50000.0,2019
439,1,2,58000.0,2019
440,1,2,65000.0,2019
441,1,2,45000.0,2019
442,1,2,60000.0,2019
443,1,2,60000.0,2019
444,1,2,60500.0,2019
445,1,2,62000.0,2019
446,1,2,50000.0,2019
447,1,2,50000.0,2019
448,1,2,50000.0,2019
449,1,2,47040.0,2019
450,1,2,65500.0,2019
451,1,2,55000.0,2019
452,1,2,50000.0,2019
453,1,2,50000.0,2019
454,1,2,55000.0,2019
455,1,2,57408.0,2019
456,1,2,60000.0,2019
457,1,2,46500.0,2019
458,1,2,55000.0,2019
459,1,2,52000.0,2019
460,1,2,50000.0,2019
461,1,2,50000.0,2019
462,1,2,56000.0,2019
463,1,2,60000.0,2019
464,1,2,57000.0,2019
465,1,2,65000.0,2019
466,1,2,45000.0,2019
467,1,2,50000.0,2019
468,1,2,42000.0,2019
469,1,2,60000.0,2019
470,1,2,60000.0,2019
471,1,2,42000.0,2019
472,1,2,50000.0,2019
473,1,2,60000.0,2019
474,1,2,47000.0,2019
475,1,2,50000.0,2019
476,1,2,69000.0,2019
477,1,2,53500.0,2019
478,1,2,45500.0,2019
