YearsCodePro,DevType,ConvertedCompYearly,OrgSize,Year
6,Data Analyst,95979.0,1000-4999,2022
7,Data Analyst,44796.0,5000-9999,2022
10,Data Analyst,13332.0,1000-4999,2022
3,Data Analyst,36036.0,10000+,2022
9,Data Analyst,34140.0,10-100,2022
3,Data Analyst,95979.0,10000+,2022
4,Data Analyst,82964.0,10000+,2022
10,Data Analyst,62712.0,100-1000,2022
4,Data Analyst,13488.0,100-1000,2022
3,Data Analyst,12384.0,2-9,2022
22,Data Analyst,48732.0,10-100,2022
6,Data Analyst,32160.0,10-100,2022
23,Data Analyst,63986.0,2-9,2022
6,Data Analyst,127968.0,2-9,2022
15,Data Analyst,130932.0,2-9,2022
10,Data Analyst,95486.0,100-1000,2022
22,Data Analyst,94230.0,10000+,2022
12,Data Analyst,124103.0,5000-9999,2022
25,Data Analyst,92002.0,1000-4999,2022
4,Data Analyst,25644.0,10-100,2022
4,Data Analyst,22764.0,10000+,2022
1,Data Analyst,127972.0,10000+,2022
24,Data Analyst,61472.0,10-100,2022
20,Data Analyst,51192.0,2-9,2022
6,Data Analyst,47172.0,100-1000,2022
9,Data Analyst,37752.0,2-9,2022
3,Data Analyst,28800.0,1,2022
4,Data Analyst,49368.0,10-100,2022
1,Data Analyst,23462.0,5000-9999,2022
5,Data Analyst,23462.0,10000+,2022
7,Data Analyst,39672.0,2-9,2022
6,Data Analyst,82736.0,100-1000,2022
6,Data Analyst,57588.0,1000-4999,2022
3,Data Analyst,63986.0,100-1000,2022
11,Data Analyst,83256.0,100-1000,2022
30,Data Analyst,106793.0,5000-9999,2022
12,Data Analyst,51589.0,2-9,2022
2,Data Analyst,16863.0,10000+,2022
4,Data Analyst,63984.0,10-100,2022
4,Data Analyst,36072.0,100-1000,2022
14,Data Analyst,12036.0,1000-4999,2022
18,Data Analyst,41461.0,100-1000,2022
20,Data Analyst,255948.0,1,2022
19,Data Analyst,181294.0,1,2022
3,Data Analyst,27756.0,1000-4999,2022
1,Data Analyst,59720.0,10-100,2022
4,Data Analyst,81666.0,100-1000,2022
5,Data Analyst,44796.0,10-100,2022
5,Data Analyst,56538.0,2-9,2022
5,Data Analyst,60787.0,10-100,2022
Less than 1 year,Data Analyst,31992.0,2-9,2022
5,Data Analyst,60924.0,1000-4999,2022
12,Data Analyst,11880.0,100-1000,2022
31,Data Analyst,141542.0,5000-9999,2022
8,Data Analyst,72000.0,5000-9999,2022
4,Data Analyst,9228.0,100-1000,2022
18,Data Analyst,100511.0,0,2022
30,Data Analyst,140000.0,1000-4999,2022
27,Data Analyst,212313.0,10-100,2022
4,Data Analyst,26700.0,10-100,2022
6,Data Analyst,70276.0,10000+,2022
12,Data Analyst,51960.0,10000+,2022
3,Data Analyst,2580.0,0,2022
20,Data Analyst,100511.0,2-9,2022
17,Data Analyst,50256.0,100-1000,2022
21,Data Analyst,72983.0,10000+,2022
9,Data Analyst,44790.0,10-100,2022
5,Data Analyst,6964.0,10-100,2022
2,Data Analyst,34126.0,10-100,2022
6,Data Analyst,98520.0,10-100,2022
15,Data Analyst,299136.0,100-1000,2022
9,Data Analyst,17772.0,10-100,2022
14,Data Analyst,47990.0,100-1000,2022
8,Data Analyst,13044.0,10-100,2022
Less than 1 year,Data Analyst,21528.0,5000-9999,2022
5,Data Analyst,34.0,10000+,2022
9,Data Analyst,1128000.0,10-100,2022
11,Data Analyst,49908.0,10-100,2022
5,Data Analyst,113761.0,100-1000,2022
13,Data Analyst,44796.0,10-100,2022
8,Data Analyst,79983.0,10000+,2022
2,Data Analyst,45857.0,10000+,2022
3,Data Analyst,42657.0,1000-4999,2022
11,Data Analyst,85038.0,10-100,2022
10,Data Analyst,58548.0,1000-4999,2022
6,Data Analyst,1241028.0,1000-4999,2022
10,Data Analyst,201023.0,100-1000,2022
4,Data Analyst,11607.0,100-1000,2022
3,Data Analyst,63986.0,10-100,2022
22,Data Analyst,94230.0,100-1000,2022
21,Data Analyst,106644.0,10-100,2022
25,Data Analyst,58872.0,5000-9999,2022
2,Data Analyst,2328.0,10-100,2022
15,Data Analyst,32916.0,10-100,2022
