YearsCodedJob,DeveloperType,Salary,CompanySize,Year
5,Data Scientist,90000.0,1000-4999,2017
9,Data Scientist,123456.0,10-100,2017
7,Data Scientist,70000.0,10-100,2017
20,Data Scientist,53763.4408602151,100-1000,2017
7,Data Scientist,21505.376344086,10-100,2017
4,Data Scientist,67200.0,10000+,2017
5,Data Scientist,66000.0,I don't know,2017
6,Data Scientist,50872.0930232558,100-1000,2017
17,Data Scientist,100000.0,2-9,2017
17,Data Scientist,65909.0909090909,1000-4999,2017
4,Data Scientist,110000.0,10000+,2017
7,Data Scientist,97035.0404312669,10-100,2017
17,Data Scientist,49473.6425339367,5000-9999,2017
5,Data Scientist,23636.3636363636,2-9,2017
3,Data Scientist,38518.5185185185,2-9,2017
20,Data Scientist,120000.0,100-1000,2017
11,Data Scientist,11745.7054764352,10000+,2017
3,Data Scientist,37634.4086021505,2-9,2017
2,Data Scientist,53763.4408602151,5000-9999,2017
9,Data Scientist,22580.6451612903,10000+,2017
20,Data Scientist,115902.964959569,100-1000,2017
6,Data Scientist,64516.1290322581,1000-4999,2017
17,Data Scientist,90909.0909090909,100-1000,2017
9,Data Scientist,46451.6129032258,10-100,2017
15,Data Scientist,59375.0,10-100,2017
19,Data Scientist,58064.5161290323,10000+,2017
2,Data Scientist,130000.0,100-1000,2017
6,Data Scientist,56220.0956937799,1000-4999,2017
7,Data Scientist,32258.064516129,100-1000,2017
5,Data Scientist,135000.0,10000+,2017
7,Data Scientist,140000.0,100-1000,2017
11,Data Scientist,68181.8181818182,10-100,2017
4,Data Scientist,29629.6296296296,10-100,2017
7,Data Scientist,56250.0,100-1000,2017
3,Data Scientist,31250.0,100-1000,2017
3,Data Scientist,4551.46087211863,10-100,2017
5,Data Scientist,27655.3383458647,1000-4999,2017
16,Data Scientist,40645.1612903226,10000+,2017
20,Data Scientist,102564.102564103,1000-4999,2017
20,Data Scientist,79185.5203619909,100-1000,2017
12,Data Scientist,75757.5757575758,10000+,2017
9,Data Scientist,67741.935483871,10-100,2017
13,Data Scientist,75000.0,100-1000,2017
5,Data Scientist,110000.0,100-1000,2017
2,Data Scientist,7871.25557680051,10-100,2017
16,Data Scientist,43010.752688172,10-100,2017
6,Data Scientist,71969.696969697,10-100,2017
20,Data Scientist,106060.606060606,10-100,2017
9,Data Scientist,4000.0,10-100,2017
4,Data Scientist,63000.0,1000-4999,2017
20,Data Scientist,90000.0,10000+,2017
16,Data Scientist,92500.0,100-1000,2017
6,Data Scientist,15000.0,10-100,2017
18,Data Scientist,107526.88172043,5000-9999,2017
5,Data Scientist,38709.6774193548,10-100,2017
4,Data Scientist,30107.5268817204,2-9,2017
1,Data Scientist,40723.9819004525,10-100,2017
5,Data Scientist,33750.0,10-100,2017
11,Data Scientist,17250.0,100-1000,2017
16,Data Scientist,115200.0,10000+,2017
6,Data Scientist,120000.0,100-1000,2017
11,Data Scientist,111000.0,100-1000,2017
5,Data Scientist,130000.0,100-1000,2017
20,Data Scientist,150000.0,10-100,2017
3,Data Scientist,150000.0,1000-4999,2017
5,Data Scientist,60606.0606060606,100-1000,2017
5,Data Scientist,10666.6666666667,10000+,2017
4,Data Scientist,22222.2222222222,2-9,2017
7,Data Scientist,92000.0,0,2017
3,Data Scientist,53763.4408602151,1000-4999,2017
20,Data Scientist,112000.0,1000-4999,2017
14,Data Scientist,106250.0,5000-9999,2017
3,Data Scientist,70000.0,100-1000,2017
7,Data Scientist,75000.0,100-1000,2017
14,Data Scientist,65000.0,100-1000,2017
2,Data Scientist,95000.0,100-1000,2017
5,Data Scientist,123000.0,10000+,2017
4,Data Scientist,100000.0,10-100,2017
4,Data Scientist,1234.79656726554,10-100,2017
11,Data Scientist,78750.0,10000+,2017
11,Data Scientist,37119.5248700817,2-9,2017
3,Data Scientist,17618.5582146528,10-100,2017
18,Data Scientist,53763.4408602151,1000-4999,2017
3,Data Scientist,5161.29032258064,5000-9999,2017
4,Data Scientist,54545.4545454545,10000+,2017
11,Data Scientist,58064.5161290323,10-100,2017
15,Data Scientist,59139.7849462366,10000+,2017
1,Data Scientist,6878.98089171975,10-100,2017
5,Data Scientist,41935.4838709677,2-9,2017
11,Data Scientist,59139.7849462366,100-1000,2017
2,Data Scientist,700.0,100-1000,2017
4,Data Scientist,117000.0,1000-4999,2017
17,Data Scientist,95000.0,100-1000,2017
13,Data Scientist,160000.0,100-1000,2017
6,Data Scientist,37634.4086021505,10-100,2017
2,Data Scientist,50000.0,10-100,2017
