YearsCodingProf,DevType,ConvertedSalary,CompanySize,Year
5,Data Analyst,36716.0,Fewer than 10 employees,2018
8,Data Analyst,37571.0,10-100,2018
11,Data Analyst,117492.0,100-1000,2018
30,Data Analyst,156000.0,10000+,2018
30,Data Analyst,124808.0,5000-9999,2018
5,Data Analyst,72000.0,1000-4999,2018
2,Data Analyst,53000.0,10000+,2018
8,Data Analyst,33816.0,100-1000,2018
11,Data Analyst,135000.0,1000-4999,2018
2,Data Analyst,11232.0,5000-9999,2018
5,Data Analyst,90000.0,10000+,2018
11,Data Analyst,79552.0,100-1000,2018
5,Data Analyst,342686.0,1000-4999,2018
5,Data Analyst,80000.0,10-100,2018
5,Data Analyst,40800.0,10-100,2018
20,Data Analyst,37695.0,10-100,2018
8,Data Analyst,70985.0,10-100,2018
5,Data Analyst,36115.0,10000+,2018
2,Data Analyst,102500.0,100-1000,2018
17,Data Analyst,110149.0,10-100,2018
2,Data Analyst,9393.0,100-1000,2018
5,Data Analyst,197239.0,1000-4999,2018
2,Data Analyst,75975.0,Fewer than 10 employees,2018
20,Data Analyst,122388.0,10-100,2018
14,Data Analyst,41124.0,Fewer than 10 employees,2018
17,Data Analyst,72469.0,100-1000,2018
14,Data Analyst,38567.0,10-100,2018
5,Data Analyst,51408.0,10-100,2018
5,Data Analyst,11349.0,10-100,2018
5,Data Analyst,50700.0,100-1000,2018
8,Data Analyst,95000.0,1000-4999,2018
11,Data Analyst,119770.0,10000+,2018
8,Data Analyst,140000.0,10-100,2018
2,Data Analyst,62122.0,Fewer than 10 employees,2018
2,Data Analyst,16272.0,1000-4999,2018
8,Data Analyst,73433.0,1000-4999,2018
2,Data Analyst,44060.0,Fewer than 10 employees,2018
8,Data Analyst,41124.0,Fewer than 10 employees,2018
8,Data Analyst,27895.0,100-1000,2018
5,Data Analyst,40176.0,10000+,2018
5,Data Analyst,36716.0,10000+,2018
14,Data Analyst,85000.0,10-100,2018
8,Data Analyst,120000.0,10-100,2018
2,Data Analyst,566724.0,10-100,2018
26,Data Analyst,122388.0,1000-4999,2018
14,Data Analyst,135986.0,100-1000,2018
5,Data Analyst,21916.0,1000-4999,2018
20,Data Analyst,26436.0,10-100,2018
5,Data Analyst,6660.0,100-1000,2018
17,Data Analyst,152000.0,10000+,2018
26,Data Analyst,88116.0,10000+,2018
26,Data Analyst,97910.0,10-100,2018
8,Data Analyst,144500.0,1000-4999,2018
5,Data Analyst,881196.0,10000+,2018
26,Data Analyst,367163.0,Fewer than 10 employees,2018
2,Data Analyst,36716.0,100-1000,2018
2,Data Analyst,1320.0,10-100,2018
8,Data Analyst,67977.0,Fewer than 10 employees,2018
11,Data Analyst,73433.0,100-1000,2018
8,Data Analyst,440592.0,10000+,2018
8,Data Analyst,75000.0,10-100,2018
29,Data Analyst,180000.0,Fewer than 10 employees,2018
5,Data Analyst,11628.0,10-100,2018
8,Data Analyst,120000.0,10-100,2018
20,Data Analyst,79552.0,10000+,2018
2,Data Analyst,3252.0,Fewer than 10 employees,2018
14,Data Analyst,88629.0,10-100,2018
5,Data Analyst,45736.0,10000+,2018
5,Data Analyst,79175.0,10-100,2018
5,Data Analyst,27600.0,10-100,2018
5,Data Analyst,65748.0,10-100,2018
5,Data Analyst,66084.0,100-1000,2018
2,Data Analyst,45000.0,100-1000,2018
30,Data Analyst,58344.0,10-100,2018
5,Data Analyst,60000.0,10000+,2018
5,Data Analyst,37476.0,Fewer than 10 employees,2018
5,Data Analyst,137000.0,10000+,2018
11,Data Analyst,125000.0,100-1000,2018
2,Data Analyst,23484.0,10000+,2018
20,Data Analyst,78000.0,10000+,2018
30,Data Analyst,104178.0,10-100,2018
2,Data Analyst,55000.0,1000-4999,2018
8,Data Analyst,76514.0,100-1000,2018
5,Data Analyst,80000.0,10-100,2018
11,Data Analyst,15900.0,Fewer than 10 employees,2018
8,Data Analyst,666744.0,Fewer than 10 employees,2018
8,Data Analyst,2000000.0,Fewer than 10 employees,2018
2,Data Analyst,19584.0,10-100,2018
11,Data Analyst,70000.0,100-1000,2018
5,Data Analyst,58752.0,100-1000,2018
11,Data Analyst,100000.0,10-100,2018
2,Data Analyst,60060.0,1000-4999,2018
2,Data Analyst,25003.0,10000+,2018
20,Data Analyst,103965.0,5000-9999,2018
11,Data Analyst,45624.0,100-1000,2018
11,Data Analyst,128000.0,10000+,2018
5,Data Analyst,79552.0,10000+,2018
20,Data Analyst,125000.0,10000+,2018
2,Data Analyst,3120.0,100-1000,2018
2,Data Analyst,11000.0,Fewer than 10 employees,2018
8,Data Analyst,8100.0,100-1000,2018
14,Data Analyst,111123.0,100-1000,2018
8,Data Analyst,14088.0,100-1000,2018
23,Data Analyst,138904.0,Fewer than 10 employees,2018
2,Data Analyst,4696.0,10-100,2018
20,Data Analyst,1510000.0,1000-4999,2018
20,Data Analyst,120000.0,100-1000,2018
2,Data Analyst,4696.0,10-100,2018
2,Data Analyst,39029.0,5000-9999,2018
5,Data Analyst,1620000.0,100-1000,2018
2,Data Analyst,7440.0,100-1000,2018
11,Data Analyst,70000.0,100-1000,2018
17,Data Analyst,108015.0,10000+,2018
8,Data Analyst,46992.0,100-1000,2018
5,Data Analyst,12348.0,10-100,2018
5,Data Analyst,51408.0,Fewer than 10 employees,2018
20,Data Analyst,53604.0,10-100,2018
2,Data Analyst,72000.0,10-100,2018
2,Data Analyst,11892.0,100-1000,2018
5,Data Analyst,57600.0,10-100,2018
2,Data Analyst,4696.0,10-100,2018
