YearsCodingProf,DevType,ConvertedSalary,CompanySize,Year
5,Data Analyst,83342.0,10000+,2018
30,Data Analyst,1000000.0,10000+,2018
5,Data Analyst,6888.0,10000+,2018
8,Data Analyst,89827.0,100-1000,2018
5,Data Analyst,9941.0,10000+,2018
8,Data Analyst,44064.0,10-100,2018
5,Data Analyst,10113.0,100-1000,2018
2,Data Analyst,20268.0,1000-4999,2018
14,Data Analyst,92000.0,10000+,2018
14,Data Analyst,78000.0,10-100,2018
5,Data Analyst,54336.0,10-100,2018
5,Data Analyst,21600.0,100-1000,2018
17,Data Analyst,120000.0,5000-9999,2018
2,Data Analyst,101582.0,10-100,2018
2,Data Analyst,117492.0,100-1000,2018
14,Data Analyst,145000.0,10-100,2018
2,Data Analyst,5616.0,10-100,2018
5,Data Analyst,533388.0,1000-4999,2018
5,Data Analyst,58746.0,100-1000,2018
5,Data Analyst,56000.0,10000+,2018
5,Data Analyst,23496.0,10000+,2018
2,Data Analyst,15720.0,100-1000,2018
8,Data Analyst,587460.0,10-100,2018
5,Data Analyst,80521.0,10000+,2018
5,Data Analyst,52000.0,5000-9999,2018
5,Data Analyst,45000.0,Fewer than 10 employees,2018
2,Data Analyst,22704.0,100-1000,2018
23,Data Analyst,120000.0,1000-4999,2018
8,Data Analyst,20592.0,Fewer than 10 employees,2018
8,Data Analyst,28020.0,10-100,2018
8,Data Analyst,18000.0,10-100,2018
8,Data Analyst,27145.0,100-1000,2018
5,Data Analyst,3312.0,10-100,2018
11,Data Analyst,19582.0,10000+,2018
11,Data Analyst,13536.0,100-1000,2018
20,Data Analyst,70000.0,100-1000,2018
20,Data Analyst,86120.0,10000+,2018
5,Data Analyst,18900.0,10-100,2018
17,Data Analyst,130000.0,10000+,2018
20,Data Analyst,76514.0,Fewer than 10 employees,2018
14,Data Analyst,140000.0,10-100,2018
5,Data Analyst,125014.0,10000+,2018
2,Data Analyst,70000.0,10000+,2018
8,Data Analyst,85000.0,10000+,2018
2,Data Analyst,14000.0,5000-9999,2018
5,Data Analyst,65000.0,1000-4999,2018
5,Data Analyst,42805.0,1000-4999,2018
5,Data Analyst,167750.0,10000+,2018
8,Data Analyst,104269.0,10-100,2018
8,Data Analyst,125000.0,100-1000,2018
2,Data Analyst,416712.0,Fewer than 10 employees,2018
8,Data Analyst,58752.0,10000+,2018
5,Data Analyst,38129.0,5000-9999,2018
11,Data Analyst,48616.0,5000-9999,2018
5,Data Analyst,51408.0,1000-4999,2018
8,Data Analyst,484656.0,10000+,2018
20,Data Analyst,120000.0,100-1000,2018
5,Data Analyst,62000.0,10000+,2018
17,Data Analyst,43755.0,1000-4999,2018
2,Data Analyst,12096.0,5000-9999,2018
23,Data Analyst,147456.0,10000+,2018
2,Data Analyst,16980.0,1000-4999,2018
5,Data Analyst,12000.0,100-1000,2018
5,Data Analyst,46000.0,100-1000,2018
8,Data Analyst,113557.0,1000-4999,2018
5,Data Analyst,52668.0,10-100,2018
2,Data Analyst,22032.0,10000+,2018
8,Data Analyst,41671.0,10-100,2018
8,Data Analyst,36720.0,10000+,2018
2,Data Analyst,22452.0,1000-4999,2018
2,Data Analyst,14734.0,Fewer than 10 employees,2018
2,Data Analyst,36000.0,10-100,2018
11,Data Analyst,68000.0,100-1000,2018
2,Data Analyst,77000.0,10-100,2018
14,Data Analyst,58752.0,1000-4999,2018
14,Data Analyst,1000000.0,10-100,2018
2,Data Analyst,8772.0,1000-4999,2018
5,Data Analyst,6600.0,10-100,2018
17,Data Analyst,69452.0,10000+,2018
5,Data Analyst,8400.0,5000-9999,2018
29,Data Analyst,69452.0,10-100,2018
5,Data Analyst,54382.0,1000-4999,2018
5,Data Analyst,62500.0,100-1000,2018
2,Data Analyst,4008.0,100-1000,2018
5,Data Analyst,105000.0,100-1000,2018
2,Data Analyst,9360.0,1000-4999,2018
11,Data Analyst,69761.0,1000-4999,2018
14,Data Analyst,120000.0,Fewer than 10 employees,2018
5,Data Analyst,80000.0,10-100,2018
8,Data Analyst,8400.0,Fewer than 10 employees,2018
11,Data Analyst,190000.0,1000-4999,2018
5,Data Analyst,8453.0,100-1000,2018
8,Data Analyst,140000.0,1000-4999,2018
5,Data Analyst,11232.0,10000+,2018
2,Data Analyst,6576.0,Fewer than 10 employees,2018
11,Data Analyst,60000.0,10-100,2018
17,Data Analyst,153028.0,10-100,2018
20,Data Analyst,109000.0,10-100,2018
5,Data Analyst,73433.0,10000+,2018
20,Data Analyst,55980.0,100-1000,2018
5,Data Analyst,1788.0,100-1000,2018
5,Data Analyst,125000.0,10000+,2018
5,Data Analyst,6951.0,100-1000,2018
5,Data Analyst,8676.0,100-1000,2018
5,Data Analyst,44064.0,5000-9999,2018
2,Data Analyst,12888.0,10-100,2018
14,Data Analyst,12000.0,Fewer than 10 employees,2018
2,Data Analyst,67313.0,10-100,2018
5,Data Analyst,37852.0,100-1000,2018
14,Data Analyst,59980.0,10-100,2018
8,Data Analyst,94100.0,10000+,2018
20,Data Analyst,82000.0,100-1000,2018
11,Data Analyst,863712.0,10-100,2018
14,Data Analyst,48000.0,10-100,2018
5,Data Analyst,61194.0,100-1000,2018
5,Data Analyst,13104.0,10-100,2018
5,Data Analyst,1200.0,10-100,2018
5,Data Analyst,115000.0,1000-4999,2018
5,Data Analyst,80000.0,100-1000,2018
11,Data Analyst,89832.0,100-1000,2018
8,Data Analyst,43440.0,10000+,2018
8,Data Analyst,14919.0,10-100,2018
5,Data Analyst,44060.0,5000-9999,2018
2,Data Analyst,53000.0,10000+,2018
14,Data Analyst,16848.0,10-100,2018
8,Data Analyst,70000.0,1000-4999,2018
14,Data Analyst,75000.0,5000-9999,2018
20,Data Analyst,107093.0,100-1000,2018
20,Data Analyst,275000.0,Fewer than 10 employees,2018
11,Data Analyst,71976.0,10-100,2018
30,Data Analyst,58752.0,10-100,2018
5,Data Analyst,75880.0,10-100,2018
5,Data Analyst,156000.0,Fewer than 10 employees,2018
5,Data Analyst,62507.0,10-100,2018
14,Data Analyst,91170.0,100-1000,2018
5,Data Analyst,18358.0,10-100,2018
8,Data Analyst,18672.0,100-1000,2018
11,Data Analyst,80000.0,100-1000,2018
2,Data Analyst,75000.0,100-1000,2018
2,Data Analyst,48955.0,100-1000,2018
2,Data Analyst,68500.0,100-1000,2018
5,Data Analyst,6600.0,10-100,2018
11,Data Analyst,34512.0,10-100,2018
5,Data Analyst,8400.0,10-100,2018
23,Data Analyst,90000.0,100-1000,2018
8,Data Analyst,24000.0,Fewer than 10 employees,2018
30,Data Analyst,200000.0,10000+,2018
5,Data Analyst,166764.0,100-1000,2018
5,Data Analyst,58752.0,10-100,2018
8,Data Analyst,38856.0,1000-4999,2018
11,Data Analyst,130000.0,1000-4999,2018
5,Data Analyst,99967.0,100-1000,2018
17,Data Analyst,48616.0,10-100,2018
8,Data Analyst,52368.0,10000+,2018
20,Data Analyst,66674.0,10-100,2018
14,Data Analyst,68049.0,10-100,2018
11,Data Analyst,84000.0,5000-9999,2018
5,Data Analyst,54755.0,5000-9999,2018
5,Data Analyst,43000.0,10-100,2018
5,Data Analyst,52000.0,100-1000,2018
23,Data Analyst,108000.0,Fewer than 10 employees,2018
17,Data Analyst,76368.0,1000-4999,2018
5,Data Analyst,46704.0,10000+,2018
14,Data Analyst,147500.0,10-100,2018
30,Data Analyst,150000.0,10000+,2018
11,Data Analyst,120000.0,100-1000,2018
2,Data Analyst,12876.0,10-100,2018
17,Data Analyst,110000.0,10-100,2018
5,Data Analyst,155000.0,1000-4999,2018
2,Data Analyst,40000.0,10-100,2018
2,Data Analyst,70000.0,10000+,2018
14,Data Analyst,14688.0,10-100,2018
5,Data Analyst,14772.0,1000-4999,2018
8,Data Analyst,40282.0,1000-4999,2018
2,Data Analyst,16200.0,100-1000,2018
20,Data Analyst,67368.0,10-100,2018
8,Data Analyst,56365.0,10-100,2018
5,Data Analyst,27804.0,100-1000,2018
5,Data Analyst,70000.0,10000+,2018
8,Data Analyst,23844.0,10-100,2018
5,Data Analyst,85000.0,10-100,2018
20,Data Analyst,2160.0,100-1000,2018
11,Data Analyst,80000.0,Fewer than 10 employees,2018
2,Data Analyst,28178.0,10000+,2018
5,Data Analyst,61000.0,100-1000,2018
5,Data Analyst,11532.0,10000+,2018
5,Data Analyst,83000.0,100-1000,2018
2,Data Analyst,4560.0,100-1000,2018
8,Data Analyst,97910.0,10-100,2018
8,Data Analyst,14652.0,10-100,2018
5,Data Analyst,90000.0,Fewer than 10 employees,2018
8,Data Analyst,56400.0,10-100,2018
8,Data Analyst,14976.0,1000-4999,2018
11,Data Analyst,48000.0,10000+,2018
2,Data Analyst,2000000.0,10-100,2018
2,Data Analyst,61194.0,100-1000,2018
8,Data Analyst,121000.0,100-1000,2018
5,Data Analyst,62507.0,100-1000,2018
20,Data Analyst,71976.0,Fewer than 10 employees,2018
5,Data Analyst,29916.0,1000-4999,2018
5,Data Analyst,105000.0,10-100,2018
11,Data Analyst,115860.0,10-100,2018
5,Data Analyst,4860.0,Fewer than 10 employees,2018
2,Data Analyst,72.0,10-100,2018
30,Data Analyst,105000.0,5000-9999,2018
17,Data Analyst,118068.0,10-100,2018
5,Data Analyst,78213.0,10000+,2018
5,Data Analyst,56000.0,100-1000,2018
2,Data Analyst,55075.0,10-100,2018
11,Data Analyst,7054.0,10-100,2018
11,Data Analyst,63192.0,10-100,2018
2,Data Analyst,12000.0,Fewer than 10 employees,2018
2,Data Analyst,75000.0,10-100,2018
11,Data Analyst,36084.0,10-100,2018
8,Data Analyst,40000.0,10000+,2018
5,Data Analyst,8567.0,1000-4999,2018
8,Data Analyst,119000.0,10000+,2018
20,Data Analyst,109000.0,10000+,2018
30,Data Analyst,190000.0,10000+,2018
5,Data Analyst,11663.0,10000+,2018
8,Data Analyst,15600.0,1000-4999,2018
11,Data Analyst,80000.0,5000-9999,2018
5,Data Analyst,56000.0,10-100,2018
11,Data Analyst,43524.0,100-1000,2018
11,Data Analyst,49932.0,1000-4999,2018
20,Data Analyst,85671.0,10-100,2018
8,Data Analyst,70572.0,10-100,2018
2,Data Analyst,7488.0,100-1000,2018
8,Data Analyst,90567.0,100-1000,2018
5,Data Analyst,75975.0,100-1000,2018
30,Data Analyst,66084.0,100-1000,2018
5,Data Analyst,75000.0,1000-4999,2018
5,Data Analyst,165000.0,10000+,2018
5,Data Analyst,109500.0,100-1000,2018
8,Data Analyst,26612.0,100-1000,2018
14,Data Analyst,76960.0,5000-9999,2018
8,Data Analyst,57636.0,10-100,2018
2,Data Analyst,9696.0,100-1000,2018
5,Data Analyst,6262.0,10-100,2018
5,Data Analyst,48468.0,10-100,2018
5,Data Analyst,31821.0,100-1000,2018
5,Data Analyst,8808.0,Fewer than 10 employees,2018
23,Data Analyst,55562.0,Fewer than 10 employees,2018
5,Data Analyst,48955.0,10-100,2018
5,Data Analyst,145000.0,10-100,2018
2,Data Analyst,52339.0,100-1000,2018
5,Data Analyst,47904.0,100-1000,2018
5,Data Analyst,31403.0,5000-9999,2018
2,Data Analyst,28986.0,100-1000,2018
2,Data Analyst,51000.0,100-1000,2018
11,Data Analyst,14400.0,100-1000,2018
11,Data Analyst,60000.0,10-100,2018
2,Data Analyst,13656.0,10-100,2018
5,Data Analyst,73433.0,10000+,2018
8,Data Analyst,91500.0,10-100,2018
2,Data Analyst,5064.0,Fewer than 10 employees,2018
5,Data Analyst,28200.0,10-100,2018
20,Data Analyst,61194.0,Fewer than 10 employees,2018
2,Data Analyst,19776.0,10-100,2018
14,Data Analyst,99000.0,100-1000,2018
2,Data Analyst,26436.0,1000-4999,2018
11,Data Analyst,22032.0,1000-4999,2018
5,Data Analyst,50000.0,Fewer than 10 employees,2018
23,Data Analyst,236000.0,100-1000,2018
14,Data Analyst,77000.0,1000-4999,2018
5,Data Analyst,59970.0,1000-4999,2018
2,Data Analyst,34726.0,10-100,2018
8,Data Analyst,44060.0,10-100,2018
11,Data Analyst,55075.0,100-1000,2018
5,Data Analyst,29376.0,100-1000,2018
8,Data Analyst,126000.0,5000-9999,2018
5,Data Analyst,56460.0,10-100,2018
2,Data Analyst,5880.0,100-1000,2018
8,Data Analyst,54000.0,10-100,2018
2,Data Analyst,10958.0,10-100,2018
17,Data Analyst,76397.0,10-100,2018
23,Data Analyst,152794.0,10-100,2018
2,Data Analyst,36235.0,10-100,2018
14,Data Analyst,70000.0,5000-9999,2018
17,Data Analyst,70212.0,5000-9999,2018
8,Data Analyst,10320.0,1000-4999,2018
17,Data Analyst,115961.0,10-100,2018
11,Data Analyst,95000.0,10-100,2018
23,Data Analyst,139.0,10000+,2018
5,Data Analyst,82500.0,10000+,2018
2,Data Analyst,39648.0,100-1000,2018
11,Data Analyst,146865.0,10000+,2018
8,Data Analyst,70000.0,10000+,2018
8,Data Analyst,81000.0,1000-4999,2018
5,Data Analyst,89266.0,1000-4999,2018
2,Data Analyst,89000.0,10000+,2018
5,Data Analyst,20268.0,10-100,2018
11,Data Analyst,22030.0,10000+,2018
8,Data Analyst,88116.0,Fewer than 10 employees,2018
2,Data Analyst,2896.0,10-100,2018
20,Data Analyst,36716.0,1000-4999,2018
8,Data Analyst,44064.0,100-1000,2018
2,Data Analyst,52339.0,10-100,2018
2,Data Analyst,21228.0,10-100,2018
2,Data Analyst,77104.0,100-1000,2018
5,Data Analyst,56365.0,100-1000,2018
30,Data Analyst,1000000.0,Fewer than 10 employees,2018
17,Data Analyst,18600.0,10-100,2018
2,Data Analyst,38000.0,10-100,2018
2,Data Analyst,28178.0,10000+,2018
20,Data Analyst,82000.0,10-100,2018
5,Data Analyst,25000.0,1000-4999,2018
2,Data Analyst,1550000.0,10-100,2018
5,Data Analyst,33045.0,100-1000,2018
2,Data Analyst,5902.0,10000+,2018
5,Data Analyst,165000.0,1000-4999,2018
5,Data Analyst,24000.0,10000+,2018
5,Data Analyst,30559.0,Fewer than 10 employees,2018
23,Data Analyst,22248.0,Fewer than 10 employees,2018
5,Data Analyst,7512.0,1000-4999,2018
2,Data Analyst,7116.0,100-1000,2018
2,Data Analyst,3000.0,100-1000,2018
20,Data Analyst,1000000.0,100-1000,2018
5,Data Analyst,50179.0,10000+,2018
17,Data Analyst,73084.0,Fewer than 10 employees,2018
11,Data Analyst,69248.0,10-100,2018
2,Data Analyst,34000.0,100-1000,2018
5,Data Analyst,60000.0,10-100,2018
5,Data Analyst,89000.0,10000+,2018
14,Data Analyst,660900.0,10-100,2018
5,Data Analyst,75000.0,10-100,2018
5,Data Analyst,74000.0,10000+,2018
23,Data Analyst,27991.0,Fewer than 10 employees,2018
11,Data Analyst,72000.0,1000-4999,2018
2,Data Analyst,1000000.0,10000+,2018
5,Data Analyst,20556.0,100-1000,2018
14,Data Analyst,12732.0,10-100,2018
2,Data Analyst,44064.0,10-100,2018
8,Data Analyst,67178.0,100-1000,2018
5,Data Analyst,104030.0,10000+,2018
5,Data Analyst,56000.0,1000-4999,2018
5,Data Analyst,87971.0,10-100,2018
14,Data Analyst,2000000.0,10-100,2018
8,Data Analyst,21600.0,1000-4999,2018
2,Data Analyst,115000.0,10000+,2018
14,Data Analyst,85671.0,10-100,2018
14,Data Analyst,104280.0,1000-4999,2018
8,Data Analyst,16644.0,100-1000,2018
2,Data Analyst,25000.0,1000-4999,2018
2,Data Analyst,70500.0,10-100,2018
11,Data Analyst,65000.0,10-100,2018
8,Data Analyst,2000000.0,100-1000,2018
20,Data Analyst,48955.0,100-1000,2018
11,Data Analyst,155000.0,100-1000,2018
2,Data Analyst,9360.0,10-100,2018
2,Data Analyst,2000000.0,100-1000,2018
8,Data Analyst,14652.0,10-100,2018
26,Data Analyst,72469.0,100-1000,2018
14,Data Analyst,21834.0,10-100,2018
5,Data Analyst,46000.0,100-1000,2018
5,Data Analyst,822444.0,10000+,2018
8,Data Analyst,11532.0,100-1000,2018
2,Data Analyst,55224.0,5000-9999,2018
8,Data Analyst,89266.0,100-1000,2018
11,Data Analyst,62507.0,Fewer than 10 employees,2018
5,Data Analyst,88899.0,10-100,2018
5,Data Analyst,20351.0,1000-4999,2018
8,Data Analyst,1296000.0,10000+,2018
20,Data Analyst,75000.0,100-1000,2018
2,Data Analyst,18360.0,Fewer than 10 employees,2018
20,Data Analyst,57000.0,100-1000,2018
5,Data Analyst,587460.0,100-1000,2018
8,Data Analyst,1000000.0,100-1000,2018
5,Data Analyst,5009.0,10000+,2018
11,Data Analyst,29725.0,1000-4999,2018
11,Data Analyst,30000.0,10000+,2018
5,Data Analyst,97500.0,100-1000,2018
5,Data Analyst,35988.0,Fewer than 10 employees,2018
11,Data Analyst,46963.0,10-100,2018
2,Data Analyst,75000.0,100-1000,2018
5,Data Analyst,33588.0,10000+,2018
11,Data Analyst,100000.0,Fewer than 10 employees,2018
8,Data Analyst,105844.0,100-1000,2018
8,Data Analyst,73433.0,100-1000,2018
23,Data Analyst,105000.0,10-100,2018
2,Data Analyst,62507.0,10000+,2018
5,Data Analyst,90000.0,10000+,2018
2,Data Analyst,9393.0,10000+,2018
11,Data Analyst,44064.0,10-100,2018
2,Data Analyst,60000.0,Fewer than 10 employees,2018
11,Data Analyst,90288.0,100-1000,2018
2,Data Analyst,58746.0,100-1000,2018
5,Data Analyst,21732.0,1000-4999,2018
2,Data Analyst,22032.0,10-100,2018
2,Data Analyst,64417.0,10-100,2018
14,Data Analyst,120000.0,100-1000,2018
2,Data Analyst,120000.0,10000+,2018
2,Data Analyst,19404.0,5000-9999,2018
2,Data Analyst,37040.0,100-1000,2018
8,Data Analyst,120000.0,Fewer than 10 employees,2018
2,Data Analyst,1128.0,Fewer than 10 employees,2018
5,Data Analyst,20000.0,10000+,2018
2,Data Analyst,46416.0,100-1000,2018
2,Data Analyst,105000.0,100-1000,2018
5,Data Analyst,440592.0,5000-9999,2018
8,Data Analyst,85000.0,10000+,2018
29,Data Analyst,131160.0,Fewer than 10 employees,2018
11,Data Analyst,88116.0,1000-4999,2018
20,Data Analyst,48000.0,10000+,2018
17,Data Analyst,63183.0,Fewer than 10 employees,2018
5,Data Analyst,52404.0,100-1000,2018
8,Data Analyst,52627.0,10000+,2018
11,Data Analyst,52932.0,10-100,2018
2,Data Analyst,71976.0,10-100,2018
11,Data Analyst,73433.0,1000-4999,2018
17,Data Analyst,75636.0,Fewer than 10 employees,2018
17,Data Analyst,52783.0,Fewer than 10 employees,2018
11,Data Analyst,4692.0,Fewer than 10 employees,2018
5,Data Analyst,41136.0,100-1000,2018
11,Data Analyst,51408.0,1000-4999,2018
23,Data Analyst,126500.0,10-100,2018
8,Data Analyst,73433.0,1000-4999,2018
14,Data Analyst,53851.0,10-100,2018
5,Data Analyst,84000.0,10-100,2018
2,Data Analyst,100000.0,10-100,2018
8,Data Analyst,70400.0,1000-4999,2018
5,Data Analyst,25476.0,5000-9999,2018
5,Data Analyst,53144.0,100-1000,2018
5,Data Analyst,140000.0,10-100,2018
30,Data Analyst,130000.0,100-1000,2018
5,Data Analyst,39164.0,1000-4999,2018
2,Data Analyst,237864.0,100-1000,2018
8,Data Analyst,41671.0,Fewer than 10 employees,2018
20,Data Analyst,58752.0,10-100,2018
11,Data Analyst,83972.0,10-100,2018
2,Data Analyst,3744.0,10000+,2018
8,Data Analyst,12732.0,100-1000,2018
20,Data Analyst,180000.0,10-100,2018
17,Data Analyst,69452.0,10-100,2018
8,Data Analyst,8952.0,10-100,2018
5,Data Analyst,55812.0,10000+,2018
8,Data Analyst,881196.0,10-100,2018
5,Data Analyst,37328.0,10-100,2018
2,Data Analyst,51500.0,100-1000,2018
26,Data Analyst,94430.0,10000+,2018
5,Data Analyst,78000.0,1000-4999,2018
2,Data Analyst,115.0,100-1000,2018
2,Data Analyst,10050.0,1000-4999,2018
17,Data Analyst,33170.0,100-1000,2018
29,Data Analyst,79000.0,10000+,2018
8,Data Analyst,9480.0,100-1000,2018
2,Data Analyst,44449.0,10000+,2018
8,Data Analyst,73433.0,100-1000,2018
17,Data Analyst,87000.0,5000-9999,2018
2,Data Analyst,84816.0,10000+,2018
5,Data Analyst,66089.0,100-1000,2018
23,Data Analyst,303000.0,100-1000,2018
8,Data Analyst,159740.0,1000-4999,2018
14,Data Analyst,13320.0,100-1000,2018
20,Data Analyst,102000.0,100-1000,2018
5,Data Analyst,15852.0,5000-9999,2018
14,Data Analyst,92000.0,100-1000,2018
11,Data Analyst,24953.0,10000+,2018
14,Data Analyst,58752.0,10000+,2018
5,Data Analyst,36720.0,10-100,2018
20,Data Analyst,67044.0,1000-4999,2018
20,Data Analyst,1000000.0,100-1000,2018
20,Data Analyst,100000.0,1000-4999,2018
14,Data Analyst,39960.0,10-100,2018
5,Data Analyst,5988.0,Fewer than 10 employees,2018
8,Data Analyst,53076.0,1000-4999,2018
2,Data Analyst,11040.0,10-100,2018
5,Data Analyst,10175.0,10000+,2018
5,Data Analyst,61196.0,10000+,2018
2,Data Analyst,52627.0,10000+,2018
11,Data Analyst,3660.0,Fewer than 10 employees,2018
2,Data Analyst,65000.0,10-100,2018
14,Data Analyst,125000.0,10000+,2018
11,Data Analyst,19200.0,1000-4999,2018
5,Data Analyst,12000.0,10-100,2018
8,Data Analyst,45000.0,100-1000,2018
14,Data Analyst,54384.0,10-100,2018
17,Data Analyst,2000000.0,10-100,2018
2,Data Analyst,3576.0,Fewer than 10 employees,2018
2,Data Analyst,76000.0,100-1000,2018
30,Data Analyst,55562.0,10000+,2018
17,Data Analyst,88000.0,10-100,2018
26,Data Analyst,154000.0,100-1000,2018
17,Data Analyst,105000.0,100-1000,2018
5,Data Analyst,18336.0,10-100,2018
2,Data Analyst,5280.0,Fewer than 10 employees,2018
11,Data Analyst,61000.0,5000-9999,2018
11,Data Analyst,87507.0,100-1000,2018
8,Data Analyst,10920.0,10-100,2018
20,Data Analyst,185000.0,100-1000,2018
8,Data Analyst,75000.0,100-1000,2018
8,Data Analyst,79552.0,10-100,2018
5,Data Analyst,54023.0,10000+,2018
11,Data Analyst,104030.0,10-100,2018
14,Data Analyst,916476.0,100-1000,2018
2,Data Analyst,80000.0,100-1000,2018
17,Data Analyst,180000.0,1000-4999,2018
2,Data Analyst,12000.0,10-100,2018
8,Data Analyst,19764.0,1000-4999,2018
30,Data Analyst,125000.0,10000+,2018
2,Data Analyst,41671.0,1000-4999,2018
8,Data Analyst,125000.0,10-100,2018
5,Data Analyst,64820.0,5000-9999,2018
5,Data Analyst,13068.0,10000+,2018
14,Data Analyst,112000.0,100-1000,2018
5,Data Analyst,79552.0,10000+,2018
2,Data Analyst,2880.0,100-1000,2018
30,Data Analyst,863712.0,10-100,2018
23,Data Analyst,104030.0,10-100,2018
8,Data Analyst,22699.0,10-100,2018
5,Data Analyst,616836.0,10000+,2018
2,Data Analyst,17796.0,10-100,2018
8,Data Analyst,75000.0,10-100,2018
5,Data Analyst,558084.0,100-1000,2018
14,Data Analyst,68443.0,5000-9999,2018
30,Data Analyst,103965.0,100-1000,2018
2,Data Analyst,45000.0,1000-4999,2018
17,Data Analyst,88573.0,100-1000,2018
2,Data Analyst,1000000.0,10-100,2018
26,Data Analyst,104678.0,100-1000,2018
5,Data Analyst,70000.0,10-100,2018
2,Data Analyst,30840.0,10-100,2018
8,Data Analyst,68000.0,1000-4999,2018
5,Data Analyst,85000.0,100-1000,2018
26,Data Analyst,100000.0,100-1000,2018
20,Data Analyst,38184.0,10000+,2018
8,Data Analyst,78500.0,1000-4999,2018
5,Data Analyst,18600.0,100-1000,2018
5,Data Analyst,49000.0,100-1000,2018
11,Data Analyst,23496.0,Fewer than 10 employees,2018
8,Data Analyst,96626.0,10-100,2018
20,Data Analyst,41204.0,10-100,2018
14,Data Analyst,85671.0,1000-4999,2018
14,Data Analyst,34000.0,10000+,2018
20,Data Analyst,1080000.0,10-100,2018
2,Data Analyst,60391.0,1000-4999,2018
11,Data Analyst,66084.0,10000+,2018
20,Data Analyst,136248.0,10-100,2018
2,Data Analyst,1476.0,10-100,2018
5,Data Analyst,55562.0,10000+,2018
20,Data Analyst,135000.0,10-100,2018
23,Data Analyst,100000.0,100-1000,2018
5,Data Analyst,11976.0,5000-9999,2018
17,Data Analyst,137500.0,100-1000,2018
2,Data Analyst,47505.0,10-100,2018
17,Data Analyst,84547.0,10-100,2018
11,Data Analyst,73433.0,100-1000,2018
14,Data Analyst,84150.0,10000+,2018
17,Data Analyst,63209.0,10-100,2018
5,Data Analyst,85671.0,100-1000,2018
5,Data Analyst,29856.0,10000+,2018
11,Data Analyst,33972.0,100-1000,2018
8,Data Analyst,70138.0,1000-4999,2018
14,Data Analyst,100000.0,10000+,2018
14,Data Analyst,67500.0,Fewer than 10 employees,2018
20,Data Analyst,58752.0,5000-9999,2018
5,Data Analyst,40536.0,100-1000,2018
8,Data Analyst,74623.0,10000+,2018
17,Data Analyst,168000.0,100-1000,2018
5,Data Analyst,63000.0,10000+,2018
5,Data Analyst,40388.0,100-1000,2018
8,Data Analyst,50179.0,1000-4999,2018
14,Data Analyst,1000000.0,5000-9999,2018
5,Data Analyst,80000.0,100-1000,2018
26,Data Analyst,250000.0,10000+,2018
8,Data Analyst,45838.0,1000-4999,2018
5,Data Analyst,40261.0,100-1000,2018
2,Data Analyst,30559.0,100-1000,2018
8,Data Analyst,58752.0,Fewer than 10 employees,2018
5,Data Analyst,73428.0,10-100,2018
2,Data Analyst,7632.0,10-100,2018
5,Data Analyst,11604.0,10000+,2018
17,Data Analyst,85671.0,1000-4999,2018
5,Data Analyst,59980.0,100-1000,2018
5,Data Analyst,14976.0,Fewer than 10 employees,2018
8,Data Analyst,66674.0,100-1000,2018
5,Data Analyst,1000000.0,100-1000,2018
20,Data Analyst,67313.0,10-100,2018
11,Data Analyst,72230.0,10-100,2018
5,Data Analyst,28236.0,100-1000,2018
8,Data Analyst,95000.0,100-1000,2018
2,Data Analyst,50005.0,100-1000,2018
11,Data Analyst,97000.0,100-1000,2018
8,Data Analyst,41671.0,100-1000,2018
8,Data Analyst,23496.0,Fewer than 10 employees,2018
8,Data Analyst,48660.0,10000+,2018
8,Data Analyst,45838.0,10000+,2018
30,Data Analyst,146868.0,10-100,2018
8,Data Analyst,96686.0,10000+,2018
5,Data Analyst,75880.0,100-1000,2018
20,Data Analyst,107000.0,10000+,2018
8,Data Analyst,87000.0,5000-9999,2018
5,Data Analyst,130000.0,10000+,2018
20,Data Analyst,111123.0,10-100,2018
2,Data Analyst,936000.0,10-100,2018
8,Data Analyst,39164.0,10-100,2018
20,Data Analyst,87287.0,10000+,2018
2,Data Analyst,7044.0,10-100,2018
5,Data Analyst,38000.0,100-1000,2018
8,Data Analyst,49068.0,Fewer than 10 employees,2018
8,Data Analyst,93760.0,10000+,2018
5,Data Analyst,100000.0,10000+,2018
11,Data Analyst,105000.0,10-100,2018
20,Data Analyst,60948.0,100-1000,2018
2,Data Analyst,73326.0,Fewer than 10 employees,2018
8,Data Analyst,700080.0,100-1000,2018
2,Data Analyst,54000.0,100-1000,2018
5,Data Analyst,120000.0,100-1000,2018
5,Data Analyst,118344.0,100-1000,2018
2,Data Analyst,65000.0,10-100,2018
14,Data Analyst,75000.0,10-100,2018
5,Data Analyst,9552.0,10-100,2018
5,Data Analyst,52000.0,10-100,2018
8,Data Analyst,21228.0,5000-9999,2018
20,Data Analyst,61212.0,1000-4999,2018
8,Data Analyst,20000.0,10-100,2018
8,Data Analyst,48955.0,100-1000,2018
5,Data Analyst,8952.0,100-1000,2018
2,Data Analyst,21612.0,10-100,2018
11,Data Analyst,82500.0,100-1000,2018
2,Data Analyst,13644.0,100-1000,2018
23,Data Analyst,93000.0,1000-4999,2018
5,Data Analyst,55931.0,10-100,2018
14,Data Analyst,58340.0,100-1000,2018
8,Data Analyst,47731.0,10-100,2018
5,Data Analyst,61194.0,100-1000,2018
17,Data Analyst,95000.0,100-1000,2018
14,Data Analyst,44064.0,10000+,2018
