,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
114,2022,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M
115,2022,SE,FT,Data Analyst,120600,USD,120600,US,100,US,M
116,2022,MI,FT,Data Scientist,130000,USD,130000,US,0,US,M
117,2022,MI,FT,Data Scientist,90000,USD,90000,US,0,US,M
118,2022,MI,FT,Data Engineer,170000,USD,170000,US,100,US,M
119,2022,MI,FT,Data Engineer,150000,USD,150000,US,100,US,M
120,2022,SE,FT,Data Analyst,102100,USD,102100,US,100,US,M
121,2022,SE,FT,Data Analyst,84900,USD,84900,US,100,US,M
122,2022,SE,FT,Data Scientist,136620,USD,136620,US,100,US,M
123,2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M
124,2022,SE,FT,Data Scientist,146000,USD,146000,US,100,US,M
125,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
126,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
127,2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M
128,2022,MI,FT,Data Analyst,106260,USD,106260,US,0,US,M
129,2022,MI,FT,Data Analyst,126500,USD,126500,US,0,US,M
130,2022,EX,FT,Data Engineer,242000,USD,242000,US,100,US,M
131,2022,EX,FT,Data Engineer,200000,USD,200000,US,100,US,M
132,2022,SE,FT,Data Scientist,165220,USD,165220,US,100,US,M
133,2022,SE,FT,Data Scientist,120160,USD,120160,US,100,US,M
134,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
135,2022,SE,FT,Data Engineer,181940,USD,181940,US,0,US,M
136,2022,SE,FT,Data Engineer,132320,USD,132320,US,0,US,M
137,2022,SE,FT,Data Engineer,220110,USD,220110,US,0,US,M
138,2022,SE,FT,Data Engineer,160080,USD,160080,US,0,US,M
139,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,L
140,2022,SE,FT,Data Scientist,120000,USD,120000,US,0,US,L
141,2022,SE,FT,Data Analyst,124190,USD,124190,US,100,US,M
142,2022,EX,FT,Data Analyst,130000,USD,130000,US,100,US,M
143,2022,EX,FT,Data Analyst,110000,USD,110000,US,100,US,M
144,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
145,2022,MI,FT,Data Analyst,115500,USD,115500,US,100,US,M
146,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
147,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
148,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
149,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
150,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
151,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
152,2022,MI,FT,Data Analyst,167000,USD,167000,US,100,US,M
153,2022,SE,FT,Data Engineer,243900,USD,243900,US,100,US,M
154,2022,SE,FT,Data Analyst,136600,USD,136600,US,100,US,M
155,2022,SE,FT,Data Analyst,109280,USD,109280,US,100,US,M
156,2022,SE,FT,Data Engineer,128875,USD,128875,US,100,US,M
157,2022,SE,FT,Data Engineer,93700,USD,93700,US,100,US,M
158,2022,EX,FT,Head of Data Science,224000,USD,224000,US,100,US,M
159,2022,EX,FT,Head of Data Science,167875,USD,167875,US,100,US,M
160,2022,EX,FT,Analytics Engineer,175000,USD,175000,US,100,US,M
161,2022,SE,FT,Data Engineer,156600,USD,156600,US,100,US,M
162,2022,SE,FT,Data Engineer,108800,USD,108800,US,0,US,M
163,2022,SE,FT,Data Scientist,95550,USD,95550,US,0,US,M
164,2022,SE,FT,Data Engineer,113000,USD,113000,US,0,US,L
165,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
166,2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M
167,2022,SE,FT,Data Science Manager,137141,USD,137141,US,100,US,M
168,2022,SE,FT,Data Scientist,167000,USD,167000,US,100,US,M
169,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
170,2022,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
171,2022,SE,FT,Data Scientist,211500,USD,211500,US,100,US,M
172,2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,L
173,2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M
174,2022,SE,FT,Data Engineer,136000,USD,136000,US,0,US,M
175,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
176,2022,EX,FT,Analytics Engineer,135000,USD,135000,US,100,US,M
177,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
178,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
